company,year,announcement,category,ship_quarter,availability,quote,verified,video_id
Arm,2021,Himax next-generation always-on smart camera AI SoC,accelerator,,announced,hi-max is working on their next generation aisoc uniquely designed for always-on smart cameras that's based on the cortex m55 and ethos u55 solution i mentioned earlier,no,esAGRF0yiBI
AMD,2024,Zen 5 CPU core,cpu,,announced,"All of this comes together in the product in Ryzen 9000 series, and we're delivering an average of 16% higher IPC across a broad range of application benchmarks and games compared to Zen 4.",no,MCi8jgALPYA
AMD,2024,Ryzen 9000 desktop CPUs,cpu,2024Q3,announced,"Now, in addition to the top of the stack, Ryzen 9950X, we're also announcing the 12-, 8-, and 6-core versions that will bring the leadership performance of Zen 5 to mainstream price points, and all of these go on sale in July.",no,MCi8jgALPYA
AMD,2024,Ryzen 9 9950X,cpu,2024Q3,announced,"We have 16 Zen 5 cores, 32 threads, up to 5.67 gigahertz boost, a large 80 megabyte cache at 170 watt TDP.",no,MCi8jgALPYA
AMD,2024,Socket AM5 support extension,roadmap,,roadmap,"And we're taking this exact same strategy with Socket AM5, which we now plan on supporting through 2027 and beyond, so you're going to see AM5 processors from us for many, many years to come.",no,MCi8jgALPYA
AMD,2024,Ryzen AI 300 series / Strix,platform,2024Q3,announced,We have a new NPU that delivers an industry-leading 50 TOPS.,no,MCi8jgALPYA
AMD,2024,Ryzen AI 9 HX 370,cpu,2024Q3,announced,"The flagship Ryzen 9 HX 370 has 12 Zen 5 cores, 24 threads, 36 megabytes of cache, the industry's most integrated NPU, and our latest RDNA graphics.",no,MCi8jgALPYA
AMD,2024,XDNA 2 NPU block FP16 support,npu,2024Q3,announced,"Now XDNA 2 is the first NPU to support block 16-bit floating-point, and what that means is block FP16 actually combines the accuracy of 16-bit data with the performance of 8-bit data.",no,MCi8jgALPYA
AMD,2024,AMD AI PC ISV commitment,software,2024Q4,roadmap,"And by the end of 2024, we're on track to have more than 150 ISVs developing for AMD AI platforms across content creation, consumer, gaming, and productivity applications.",no,MCi8jgALPYA
AMD,2024,HP next-generation OmniBook with Ryzen AI 300,partnership,in a few weeks,announced,"This is the next generation OmniBook, when we integrate the latest Ryzen AI 300 series that as Lisa was saying before, will be the first product that will have 50 TOPS integrated in the device.",no,MCi8jgALPYA
AMD,2024,Lenovo third-generation Ryzen AI laptops,partnership,2H24,announced,"So later this year, we are going to launch Lenovo AI laptops with the third-gen Ryzen AI processors for consumers through our Yoga franchisee, for commercial with our legendary ThinkPad brand, and for small and medium businesses through our ThinkBook lineup.",no,MCi8jgALPYA
AMD,2024,ASUS Ryzen AI 300 AI PC lineup,partnership,2024Q3,announced,"I think later today at 4 p.m. we'll be unveiling a range of cutting-edge AI PCs across our portfolio with brand new ZenBook, ProArt, Vivobook, ASUS TUF, and ROG laptops powered by the 3rd Gen AMD Ryzen AI processors.",no,MCi8jgALPYA
AMD,2024,Versal AI Edge Gen 2 early access,accelerator,,sampling,"More than 30 of our strategic partners are already developing Edge AI devices powered by our new single-chip Versal solution, and we are incredibly excited about the opportunity to drive AI at the Edge and see significant opportunities to extend our embedded market leadership with these new technologies.",no,MCi8jgALPYA
AMD,2024,5th Gen EPYC Turin,cpu,2H24,announced,Turin features 192 cores and 384 threads and has 13 different chiplets built in 3 and 6 nanometer process technology.,no,MCi8jgALPYA
AMD,2024,Stable Diffusion 3 Medium release,software,2024Q2,announced,Today we're announcing that on June 12th we will release the Stable Diffusion 3 medium model for everyone to download.,no,MCi8jgALPYA
AMD,2024,Instinct MI325X,gpu,2H24,roadmap,"MI325 extends our leadership in generative AI with up to 288 gigabytes of ultra-fast HBM3E memory with 6 terabytes per second of memory bandwidth, and it uses the same infrastructure as MI300, which makes it easy for customers to transition.",no,MCi8jgALPYA
AMD,2024,Instinct MI350 series,gpu,2025,roadmap,"And with CDNA 4, we're on track to deliver 35 times increase.",no,MCi8jgALPYA
AMD,2024,Instinct MI400 series,gpu,2026,roadmap,"And then in 2026, we'll deliver another brand-new architecture with CDNA next in the MI400 series.",no,MCi8jgALPYA
AMD,2024,Ultra Accelerator Link 1.0 standard,networking,2H24,roadmap,"The UA Link 1.0 standard is on track for later this year, with chips supporting UA Link already well into development from multiple vendors.",no,MCi8jgALPYA
ASUS,2024,ASUS Zenbook S16,platform,2024Q2,announced,"all of this and even more Mark our brand new Zen book series the flagship of our series and aiming our performance with third generation ryzen AI processor means it's significantly faster in so many different way over previous gen and M3 fer GPU CPU 50 trillion top soft performance more memory bandwidth more pixel outlet for all types of AI and creativity task and all this Freedom comes to you for the price starting from today us 1,39 ey available for pre-order on usb.com and worldwide Asus store starting from today",no,L-gSPB-WRSs
ASUS,2024,ASUS TUF Gaming A16,platform,,announced,our T gaming a16 can support higher power limits up to 170 watts of total system performance power in manual modes and this generation of tough gaming a16 is significantly faster compared to the previous gen of ryzen I 89 45h,no,L-gSPB-WRSs
ASUS,2024,ASUS TUF Gaming A14,platform,,announced,the tough A14 is incredibly compact weights only just a 1.46 kilogram but despite it size it delivered impressive performance typical laptop as size usually handles a 30 wat CPU even if you would have a discrete graphics it's low powered,no,L-gSPB-WRSs
ASUS,2024,ASUS ProArt Display PA27JCV 5K,other,2024Q3,announced,please anticipate the 5K Po pa27 jcv in Q3,no,L-gSPB-WRSs
ASUS,2024,ASUS ProArt Display PA32QCV 6K,other,,announced,the 5K monitor offers 77% more workspace than 4K and the 6K monitor offers 145% more with these large canvases you can effortlessly navigate through your creative content without constant zooming enabling greater efficiency in your work,no,L-gSPB-WRSs
ASUS,2024,ASUS ProArt P16,platform,2024Q2,announced,our PO p16 with latest ryzen AI 9hx processor up to 64 gig of memory and the RTX 4070 GPU was start fun 1899 and the px13 was St found $699 available to pre-order on asus.com and Best Buy later today,no,L-gSPB-WRSs
ASUS,2024,ASUS ProArt PX13,platform,2024Q2,announced,the pra px13 offer unbounded versatility with its convertible design whether you are sketching on a go on a go or editing high resolution videos design for creators who demands flexibility without compromise on quality a vibrant 3K Lumina OLED brings your creativity to life with cinematic quality,no,L-gSPB-WRSs
ASUS,2024,ASUS ProArt PZ13,platform,2H24,announced,powered by the latest Qualcomm Snapdragon X Series with up to 45 tops mpu the pr pc13 effess lights up the copilot plus PC experience and it comes with an Ample Storage of one terabytes so it will be able to save hundreds of high definition videos and thousands of high definition photos bringing all your creative contents at your fingertip,no,L-gSPB-WRSs
ASUS,2024,ASUS MuseTree,software,,announced,I'm very excited to be here to share with you two Innovative software tools today M Tre and story cube both develop inh housee and capable of taking full advantages of the high performing Pro laptops,no,L-gSPB-WRSs
ASUS,2024,ASUS StoryCube,software,,announced,story cube is your go-to AI power file manager to keep all your precious memories organized and within reach,no,L-gSPB-WRSs
ASUS,2024,ProArt and CapCut partnership,partnership,,announced,now one more exciting news not to be missed today we're thrilled to announce our partnership between capot and pro art together to elevate your creative journey,no,L-gSPB-WRSs
ASUS,2024,ProArt laptop creator software bundle,software,,announced,all the pr laptops will include a three month Adobe Creative suits and a six-month of cap cup Pro for free saving you hundreds of dollars to start experiencing the AI superpower in Creative tools,no,L-gSPB-WRSs
ASUS,2024,ASUS Blackwell-based AI servers,server,,announced,this computex assus is announcing blackw based servers for both the gb200 NV 72 the hgx B100 the hgx b200 as well as the mgx gb200 nbl2,no,L-gSPB-WRSs
ASUS,2024,ASUS ESC AI POD with NVIDIA GB200 NVL72,server,,announced,introducing the world most powerful Rec solution today the Asus ESC AI part with Nvidia gb200 mvl 72,no,L-gSPB-WRSs
Delta,2024,Vertical power delivery for AI accelerators,platform,,announced,"By doing something like this, we can reduce the length of the last lab power delivery trace and accordingly cuts down the voltage drop and the energy loss leading to something like 13% efficiency improvement which may seem small but is is a major deal is a major deal.",no,iiRie4LmiaA
Delta,2024,Delta liquid cooling portfolio,server,,announced,"At this point, Delta Electronics has a liquid cooling solution in all three categories.",no,iiRie4LmiaA
Delta,2024,End-to-end precision cooling solution for data centers,server,,roadmap,We are also working on a endtoend precision cooling solution for the entire data center.,no,iiRie4LmiaA
Delta,2024,Wi-Fi sensing positioning system,platform,,announced,We use AI algorithms to to solve this multi pass problem and come up with a precise positioning system whose error is about 35 cm point 35 m which is about five to 10 times smaller than existing signal based signal strength based Wi-Fi positioning system.,no,iiRie4LmiaA
Delta,2024,Wi-Fi vital-sign sensing,platform,,announced,"So by analyzing the minor variations in the Wi-Fi of the in the SCSI of the Wi-Fi signals, we come up with a breathing rate estimation algorithm that can achieve something like 95% accuracy at a 5 m distance as well as a hard beaten rate estimation algorithm that can achieve something like 83% accuracy at a one meter distance.",no,iiRie4LmiaA
Delta,2024,Q Wi-Fi quality-of-service-conscious Wi-Fi system,networking,,announced,Q Wi-Fi develop Q Q Wi-Fi builds this device positioning capability as a first class functionality into every constituent access point and is able to reduce the interapp handover latency from what used to be something like 100 to 150 millisecond down to something like less than 30 millisecond which is comparable to or better than most 5G systems and in addition with the device positioning technology can enable more effective dynamic load balancing among Wi-Fi access point and continuous network operation in even in the presence of planned or unplanned access point shutdown.,no,iiRie4LmiaA
Delta,2024,BITS drone-based bridge inspection automation,software,,announced,So what's the upshot? The upshot is that bits uses this end to end automation uh capability to uh cut down the bridge inspection cost by half and reduce the elapse time to one/ird.,no,iiRie4LmiaA
Delta,2024,BITS level-four bridge inspection automation,software,,announced,But with bits bits correspond to level four automation.,no,iiRie4LmiaA
Delta,2024,Kota ADAS stress-testing platform,software,,announced,Kota is the the test case generator that generate uh supposedly generate this millions and millions of corner test cases and then pray them in the in the virtual environment simulator.,no,iiRie4LmiaA
Delta,2024,Kota remedial ADAS retraining loop,software,,announced,I claim that it is the kotas capability to completing this test identify problem remove problem test identify problem remove problem loop that uniquely pushes behind the state-of-the-art in a adas testing that is to our knowledge there's no other adas testing can do anything like this okay so eventually eventually under Kota um when um ADA system fail the more test ADA system fails the better it is going to get this is somewhat somewhat sort of like a paradox but that's what happens like the more test you can fail under kota the better you are going to get right so finally we all know that um AI technology is eating the world and the revolution is just beginning.,no,iiRie4LmiaA
Delta,2024,Autonomous mobile robot that can ride legacy elevators,other,,roadmap,"For example, we have uh autonomous mobile robot that can ride legacy elevator that you can take take the elevators up and down without human intervention.",no,iiRie4LmiaA
Delta,2024,AI-driven PCB layout tool for power electronics,software,,roadmap,And we have a AIdriven PCB layout tool that is specifically tailored to power circuit power electronics circuit design and so on and a bunch of other things.,no,iiRie4LmiaA
Gigabyte,2024,GIGABYTE AI TOP local AI training platform,platform,,announced,As a result the GIGABYTE AI TOP solutions are able to perform up to 2.63 token per Watts,no,Bnw5g6zsw0A
Gigabyte,2024,AI TOP Utility,software,,announced,Also we have tested the top 20 most downloaded open source LLMs with parameters ranging from 100MB to 236B which are fully available in the AI Top Utility,no,Bnw5g6zsw0A
Gigabyte,2024,AI TOP Tutor,software,,announced,In summary the AI TOP Tutor is a cloud service that provides real-time conversation and leads you to the answer of every hardware and software question about doing local AI training,no,Bnw5g6zsw0A
Gigabyte,2024,TRX50 AI TOP Motherboard,platform,,announced,The TRX 50 AI TOP provides 4 PCI Express 5.0 x16 slots to support up to 4 dual-slot graphics cards,no,Bnw5g6zsw0A
Gigabyte,2024,W790 AI TOP Motherboard,platform,,announced,This one features a similar but a little bit more premium configuration 5 PCIe 5.0 x16 slots,no,Bnw5g6zsw0A
Gigabyte,2024,GeForce RTX 4070 Ti SUPER AI TOP 16G,gpu,,announced,Since most of computing jobs are handled by GPU we are now introducing GeForce RTX 4070 Ti SUPER AI TOP 16G,no,Bnw5g6zsw0A
Gigabyte,2024,Radeon Pro W7900 AI TOP 48G,gpu,,announced,Sincerely introducing W7900 AI TOP 48G and W7800 AI TOP 32G,no,Bnw5g6zsw0A
Gigabyte,2024,Radeon Pro W7800 AI TOP 32G,gpu,,announced,Sincerely introducing W7900 AI TOP 48G and W7800 AI TOP 32G,no,Bnw5g6zsw0A
Gigabyte,2024,GIGABYTE AMD Radeon Pro AIB partnership,partnership,,announced,We are thrilled to announce that GIGABYTE has become the first and the only Professional Graphics Add-In-Board Partner on The Market that collaborates with AMD Radeon Pro series,no,Bnw5g6zsw0A
Gigabyte,2024,AI TOP 100E SSD,memory,,announced,Powered by Phison aiDAPTIVE technology these two skus have a 150-times of Total Bytes Written comparing to the regular SSD model so you don’t have to worry too much that huge amount of data exchange will kill your SSD’s lifespan,no,Bnw5g6zsw0A
Gigabyte,2024,UD1600PM PG5 AI TOP PSU,other,,announced,The PSU is also certified with 80 Plus Platinum and a 10-year warranty proven our commitment to provide the best AI product,no,Bnw5g6zsw0A
Intel,2024,Xeon 6 with E-cores,cpu,,announced,Today we are launching Xeon 6 with E-cores.,no,5imrulocDlY
Intel,2024,Second-generation Xeon 6 with E-cores,cpu,2H24,roadmap,"Later this year, we will be bringing the second generation of our Xeon 6 with E-cores, a whopping 288 cores.",no,5imrulocDlY
Intel,2024,Xeon 6 P-core Granite Rapids,cpu,2024Q3,roadmap,"And in Q3, we will introduce the E-cores' big brother, the P-core version, Granite Rapids, our next generation of the Xeon 6 family of processors.",no,5imrulocDlY
Intel,2024,Open Platform for Enterprise AI,software,,announced,We have created the Open Platform for Enterprise AI to make Xeon and Gaudi a standardized AI solution for workloads like RAG.,no,5imrulocDlY
Intel,2024,Gaudi 3 AI accelerator,accelerator,2H24,announced,We are projected to deliver 40% faster time-to-train than H100's and 1.5X versus H200's.,no,5imrulocDlY
Intel,2024,AI-optimized Ethernet scale-out networking NIC and foundry chiplets,networking,,announced,And we are delivering that both as a network interface card as well as foundry chiplets.,no,5imrulocDlY
Intel,2024,Ultra Accelerator Link,networking,,announced,But also just last week we announced the creation of the Ultra Accelerator Link for scale-up as well.,no,5imrulocDlY
Intel,2024,Intel Tiber Edge software platform,software,,announced,"And for that, we recently launched the Intel Tiber Edge software platform, making it easy for enterprises to deploy, secure and manage AI applications at the edge.",no,5imrulocDlY
Intel,2024,Lunar Lake AI PC platform,platform,2024Q3,announced,We already have over 80 designs with 20 OEMs that will start shipping in volume in Q3.,no,5imrulocDlY
Intel,2024,Lunar Lake NPU,npu,2024Q3,announced,"Alongside this, we are delivering strong AI compute performance with our enhanced NPU up to 48 TOPS of performance.",no,5imrulocDlY
Intel,2024,Arrow Lake,cpu,2024Q4,roadmap,"And Arrow Lake is our next generation product we will introduce later this year that will enable AI to all PC categories, starting with the desktop and Q4.",no,5imrulocDlY
Intel,2024,Panther Lake on Intel 18A,roadmap,2025,roadmap,"And in 2025, it just gets better.",no,5imrulocDlY
MediaTek,2024,Dimensity 9400 (previewed; launched Oct 2024),roadmap,announced in about three months,roadmap,our new trip 9400 will be announced I think in about three months about three months,no,wxMh8TH7OF8
MediaTek,2024,MediaTek-Nvidia automotive cockpit/control chip,platform,,announced,the chip we are designing together now it is in design will give you 5.8 Times Higher tops and compared to our best 2024 offering,no,wxMh8TH7OF8
MediaTek,2024,MediaTek cloud AI accelerator effort,accelerator,,announced,so by 2028 this Market will have a 10 or $ 45 billion doll 45 billion is a big number,no,wxMh8TH7OF8
MediaTek,2024,Arm-MediaTek cloud accelerator collaboration,partnership,,announced,MCH and arm have been working together for over 20 years a mutually winning relationship amazing achievement,no,wxMh8TH7OF8
MediaTek,2024,MediaTek custom networking chip,networking,,shipping,we have also built a custom networking chip which is already in production with 5 nanometer process technology over 70 billion transistors near package of 91 mm by 91 mm,no,wxMh8TH7OF8
MediaTek,2024,224G SerDes IP with 400G roadmap,networking,2024,roadmap,2022 we buil 112g through this capability now 2024 we're doing 224 here,no,wxMh8TH7OF8
NVIDIA,2024,NVIDIA NIM inference microservices,software,,announced,all of the software is now integrated 400 dependencies all integrated into one,no,pKXDVsWZmUU
NVIDIA,2024,Llama 3 NIM on Hugging Face,software,,GA,today we uh just posted up in hugging face the Llama 3 Nim fully optimized it's available there for you to try and you can even take it with you,no,pKXDVsWZmUU
NVIDIA,2024,Blackwell GPU platform in production,gpu,,shipping,this is Blackwell black black well is in production incredible amounts of Technology this is our production board,no,pKXDVsWZmUU
NVIDIA,2024,DGX Blackwell air-cooled system,server,,announced,so this is a dgx Blackwell this has this is air cooled has eight of these gpus inside,no,pKXDVsWZmUU
NVIDIA,2024,MGX liquid-cooled Blackwell 72-GPU system,server,,announced,72 of these gpus 72 of these G gpus are then connected together with a new MV link,no,pKXDVsWZmUU
NVIDIA,2024,Fifth-generation NVLink Switch,networking,,announced,mvlink switch in itself is a technology Miracle it's 50 billion transistors 74 ports at 400 gbits each four lengths cross-sectional bandwidth of 7 7.2 terabytes per second,no,pKXDVsWZmUU
NVIDIA,2024,Spectrum-X Ethernet (SN5600 + BlueField-3),networking,,announced,this is Spectrum x800 it is uh 51.2 terabits per second and 256 Radix,no,pKXDVsWZmUU
NVIDIA,2024,Spectrum-X800 Ultra,networking,2025,roadmap,the next one coming is 512 Ric is one year from now 512 Ric and that's called Spectrum x800 Ultra,no,pKXDVsWZmUU
NVIDIA,2024,Spectrum-X1600,networking,,roadmap,x800 ultra is designed for hundreds of thousands of gpus and x1600 is designed for millions of gpus,no,pKXDVsWZmUU
NVIDIA,2024,Blackwell Ultra,roadmap,2025,roadmap,while Blackwell is here next year is Blackwell Ultra just as we had h100 and h200,no,pKXDVsWZmUU
NVIDIA,2024,Rubin platform,roadmap,,roadmap,our next Generation platform is called Reuben the Reuben platform,no,pKXDVsWZmUU
NVIDIA,2024,Rubin Ultra platform,roadmap,one year after Rubin,roadmap,so we have the rubben platform and one year later we have the Ruben um Ultra platform,no,pKXDVsWZmUU
NVIDIA,2024,Jetson Thor robotic supercomputer,platform,,roadmap,Nvidia Jets and orend and Next Generation Jetson Thor robotic supercomputer to run the models,no,pKXDVsWZmUU
NVIDIA,2024,NVIDIA robotics platform suite,platform,,announced,the first we're going to create platforms for each type of robotic systems one for robotic factories and warehouses one for robots that manipulate things one for robots that move and one for uh robots that are humanoid,no,pKXDVsWZmUU
NVIDIA,2024,Siemens integration with NVIDIA Isaac Manipulator and Omniverse,partnership,,announced,we've connected Nvidia manipulator and Nvidia Omniverse with seens the world's leading Industrial Automation software and systems company,no,pKXDVsWZmUU
NVIDIA,2024,NVIDIA DRIVE production roadmap with Mercedes and JLR,partnership,Mercedes 2025; JLR 2026,roadmap,next year we're going to go to production with the Mercedes Fleet and after that in 2026 the jlr Fe Fleet,no,pKXDVsWZmUU
NVIDIA,2024,Blackwell production board,gpu,,shipping,this is Blackwell black black well is in production incredible amounts of Technology this is our production board,no,pKXDVsWZmUU
NVIDIA,2024,MGX liquid-cooled Blackwell rack,server,,announced,72 of these 72 of these gpus 72 of these G gpus are then connected together with a new MV link,no,pKXDVsWZmUU
NVIDIA,2024,Spectrum-X800 Ethernet switch,networking,,announced,this is Spectrum x800 it is uh 51.2 terabits per second and 256 Radix,no,pKXDVsWZmUU
NVIDIA,2024,NVIDIA Isaac Manipulator and Omniverse integration with Siemens,partnership,,announced,we've connected Nvidia manipulator and Nvidia Omniverse with seens the world's leading Industrial Automation software and systems company,no,pKXDVsWZmUU
NVIDIA,2024,Google Colab cuDF accelerated pandas,partnership,,GA,well just last week Google announced that they've put CDF in the cloud and accelerate pandas pandas is the most popular data science library in the world,no,pKXDVsWZmUU
NVIDIA,2024,TSMC Kitho production deployment,partnership,,shipping,tsmc is in the process of going to production with kitho saving enormous amounts of energy and more enormous amounts of money,no,pKXDVsWZmUU
NVIDIA,2024,Mercedes fleet production on NVIDIA Drive,partnership,2025,roadmap,next year we're going to go to production with the Mercedes Fleet and after that in 2026 the jlr Fe Fleet,no,pKXDVsWZmUU
NVIDIA,2024,JLR fleet production on NVIDIA Drive,partnership,2026,roadmap,next year we're going to go to production with the Mercedes Fleet and after that in 2026 the jlr Fe Fleet,no,pKXDVsWZmUU
NVIDIA,2024,Foxconn robotic factory digital twin for NVIDIA AI supercomputers,partnership,,announced,foxcon the world's largest electronics manufacturer is gearing up to meet this Demand by building robotic factories with Nvidia Omniverse and AI,no,pKXDVsWZmUU
Qualcomm,2024,Snapdragon X Elite / X Plus Copilot+ PC first wave,platform,2024Q2 (June 18),announced,22 co-pilot plus PCs powered by Sniper Dragon X Elite and Snapdragon X Plus.,no,5R3QpKMciEw
Qualcomm,2024,Snapdragon X Elite NPU,npu,2024Q2 (June 18),GA,So with Snapdragon X Elite we're delivering the world's fastest NPU for laptops at 45 tops but it has also the leading performance per watt.,no,5R3QpKMciEw
Qualcomm,2024,Qualcomm AI Hub for PCs,software,,announced,The Qualcomm AI hub has over a 100 pre-optimized AI models ready to be deployed.,no,5R3QpKMciEw
Qualcomm,2024,Snapdragon Development Kit for Windows,platform,2024Q2 (June 18),announced,And [snorts] when we talk about accelerating uh development uh we also launch the Snapdragon development kit for Windows.,no,5R3QpKMciEw
Qualcomm,2024,Microsoft Surface Pro and Surface Laptop with Snapdragon X,partnership,2024Q2 (June 18),announced,We have a new Surface Pro and a new Surface laptop powered by the Snapdragon X series available for pre-order now.,no,5R3QpKMciEw
Qualcomm,2024,Acer Swift Snapdragon X Copilot+ PC,partnership,,announced,This product will be up to 26 hours of video playback 14.5 inch touchscreen and exclusive Acer AI apps including audio video conference whatever the previous all previous uh speaker talk about we have them all and ASA is focused on evolving the user experience for PC usage model.,no,5R3QpKMciEw
Qualcomm,2024,Dell Snapdragon X AI PC portfolio,partnership,,announced,Uh we have built a comprehensive portfolio of AI PCs from gaming uh premium consumer PCs to mainstream business laptops uh powerful workstations and we just added five new AIPCs powered by Snapdragon X series processors.,no,5R3QpKMciEw
Qualcomm,2024,Dell XPS 13 with Snapdragon X Elite,partnership,,announced,"If you take a look at our XPS 13, our thinnest, lightest XPS now delivers multi-day battery life with what we believe will be an industry-leading up to 27 hours streaming.",no,5R3QpKMciEw
Qualcomm,2024,Samsung Galaxy Book4 Edge,partnership,,announced,"As we have done with the Galaxy S24 series, the world's first AI phone, we take our next leap together in PC with the Galaxy Book 4 Edge.",no,5R3QpKMciEw
Qualcomm,2024,Lenovo ThinkPad T14S Gen 6 and Yoga Slim 7X with Snapdragon X Elite,partnership,,announced,Two premium Lenovo AI laptops powered by the Snapdragon X Elite.,no,5R3QpKMciEw
Qualcomm,2024,Lenovo AI Now and Creator Zone on Yoga Slim 7X,software,,announced,"First, let me introduce Lenovo AI.",no,5R3QpKMciEw
Qualcomm,2024,Snapdragon X Elite gaming optimization program,software,,announced,"There's more than 1,200 games.",no,5R3QpKMciEw
Supermicro,2024,X14 Intel Xeon 6 server platforms,server,,announced,we have just launched our new optimiz x14 Intel gon 6 siaro Forest space and soon BR line rapid base platforms,no,HQnNpZFIhpA
Supermicro,2024,H14 AMD Turin server platforms,server,,sampling,h14 AMD Gen 5 touring base solution is also ready for early deployment now,no,HQnNpZFIhpA
Supermicro,2024,Direct Liquid Cooling rack-scale solution mass production,platform,,shipping,"currently we are able to ship 1,000 RS or our industry based D solution per month as of right now",no,HQnNpZFIhpA
Supermicro,2024,Two-week rapid delivery for liquid-cooled racks,roadmap,,announced,now we're extending that same promise of two weeks to liquid cooling rack Solutions delivered at scale,no,HQnNpZFIhpA
Supermicro,2024,DLC adoption target,roadmap,next 12 months,roadmap,we are targeting 15% of the global new data center development will be using our DLC Solutions in the next 12 months and hopefully up to 30% in the following years,no,HQnNpZFIhpA
Supermicro,2024,DLC AI data-center operating-cost savings commitment,platform,,announced,due to low energy consumption by less air condition by less air condition thec saving on OPAC can be up to 40% achieving up to $60 million over five years depending on location,no,HQnNpZFIhpA
Supermicro,2024,DLC rack density increase,platform,,shipping,as a typical air cool data center like Maxim my out with 20 or 30 K1 super mic DLC solution can be 80 to 100 K peret right now,no,HQnNpZFIhpA
Supermicro,2024,DLC rack-scale power savings,platform,,announced,by switching to direct to Li liquid cooling from traditional air cooled configurations our customers are enjoying 33% power savings and that's huge,no,HQnNpZFIhpA
Supermicro,2024,DLC water tower and cooling loop solution,platform,,announced,our DLC Solutions efficiently utilize one wat up to 45 de C to dissipate heat up to 90% of the heat generated by rack through liquid cooling,no,HQnNpZFIhpA
Supermicro,2024,SuperCloud Composer DLC monitoring update,software,,announced,our latest iteration is going to allow you in one single panel to look at monitor your entire data center from the chips in each one of these gpus with sensors all the way down to our liquid cooling tower all in one pan of glass,no,HQnNpZFIhpA
