company,venue,zone,booth_no,brand,products,registered
Akeana,TaiNEX 2,InnoVEX,S0409a,,,2026-03
Alberta Taiwan Office,TaiNEX 2,InnoVEX,S0506,,,2026-03
ALFA NETWORK INC,TWTC Hall 1,Robotics,A0507a,ALFA,"Industrial Automatic & Smart Machinery Turnkey Equipment,IIoT Solution",2026-03
ALGO ARTIS CORPORATION,TaiNEX 2,InnoVEX,S0118,,,2026-03
"All Best Electronics Co., Ltd.",TaiNEX 1,Components & Advanced Power Tech,I0024,,"Electrical Connectors,Other Computer Components & Parts,Optical Fiber",2026-03
Alpenglow Tek,TaiNEX 2,InnoVEX,S0209a,,,2026-03
Alpha Intelligence Manifolds,TaiNEX 2,InnoVEX,S0712a,,,2026-03
Alphacool International GmbH,TaiNEX 1,International,N0519,Alphacool,"Server,Liquid Cooling System ,AI Air Cooling / Liquid Cooling System",
Alsemy Inc.,TaiNEX 2,InnoVEX,S0712a,,,2026-03
Altek Corporation,TaiNEX 1,AI Computing & Tech,J0327a,,"System on Chip(SOC),Data Capturing & Identification,Image Recognition Service / Device,Biometircs System,UAV & Drone Imaging Solutions,Robotic Vision,Edge AI & Edge Computing,AI Vision & Algorithms",
Amaryllo Inc.,TaiNEX 1,Advanced Communication & Networking,K0221a,"AMARYLLO,myHPcloud,Soteria","Other Drives, Storage & Blank Media,IP Camera",
AMAX-KY,TaiNEX 2,AI Computing & System Integration Solution,R0233a,,"Hardware Products: Industrial control equipment, workstations, servers, CDU, liquid cooling components, customized service servers,Software Products: PlatforMax Intelligent Computing Convergence Platform, distributed storage software, intelligent O&M platform, liquid cooling data center platform, AI and Token application platform,Solutions: Liquid cooling intelligent computing solution, high-performance computing cluster solution, AI computing cluster solution",
AMAZING CHIP SEMICONDUCTOR CORPORATION,TaiNEX 2,AI Computing & System Integration Solution,R0931,,,2026-03
"Ambedded Technology Co., Ltd",TaiNEX 2,AI Computing & System Integration Solution,R0834,Ambedded Technology,,2026-03
"Amelio Biomedical Co., Ltd.",TaiNEX 2,InnoVEX,S0311a,"Amelio Biomedical Co., Ltd.",,2026-03
AMICCOM Electronics Corporation,TWTC Hall 1,ePaper Pavilion,D0129,AMICCOM,"IC Design, Packaging & Foundry",2026-03
Amphenol,TaiNEX 1,AI Computing & Tech,J0632,,"Communication Antenna,Telecommunication Services ,AI Air Cooling / Liquid Cooling System ,AI Server ,Data Center (DC) / Cloud Service Provider (CSP) ,Generative AI / LLM ,AI Switching Power Supply ,Edge Computing",
AMPLINK Company Limited,TWTC Hall 1,TechXperience,D0731a,,,
Anchor Film,TaiNEX 2,InnoVEX,S0105,,MarTech & Social Networking,
Andes Technology Corporation,TaiNEX 1,System Integration Solution,M1111a,AndesCore™,"IC Design, Packaging & Foundry",2026-03
AngkeInfo,TaiNEX 2,InnoVEX,S1014,,,2026-03
Aniah,TaiNEX 2,InnoVEX,S0724,,,2026-03
Anivance ai,TaiNEX 2,InnoVEX,S0712a,,,2026-03
"ANJI JIFANG FURNITURE CO.,LTD",TaiNEX 2,InnoVEX,S0726,,,2026-03
AnMo Electronics Corporation,TaiNEX 2,Consumer Electronic Accessories,Q0624a,"AnMo, Dino-Lite",Other Computer Peripherals,2026-03
Antec Inc.,TaiNEX 2,Consumer Electronic Accessories,Q0217a,,Computer Case,2026-03
"AnXpert Advanced Co., Ltd.",TaiNEX 1,AI Computing & Tech,J1329,Ansys,Industrial Software,2026-03
AON3D,TaiNEX 2,InnoVEX,S0506,,,2026-03
Apacer Technology Inc.,TaiNEX 1,Components & Advanced Power Tech,I0108,"Apacer,宇瞻",DRAM,2026-03
"APALTEK CO.,LTD.",TaiNEX 1,AI Computing & Tech,J0431,APALTEK,AI Air Cooling / Liquid Cooling System,2026-03
Apeer Square Technologies,TaiNEX 2,Consumer Electronic Accessories,Q0316,"Apeer Square Technologies, Apeer², Apr2","Computer Case,PC Speaker",2026-03
ApertureData,TaiNEX 2,InnoVEX,S0304,,,2026-03
Apex Material Technology Corp.,TWTC Hall 1,ePaper Pavilion,D0231,AMT,E-paper Display,
APEX Precision Technology Corp.,TWTC Hall 1,TechXperience,A0235a,"Metal Circular Connector Series,Waterproof Connector Series,Mil-spec Connector Series",Electrical Connectors,2026-03
APLEX Technology Inc.,TaiNEX 2,Industrial IoT & Embedded Systems,Q0502,"APLEX,ADOTEC",Human Machine Interface (HMI),2026-03
APLUS POWER CORP.,TaiNEX 2,Consumer Electronic Accessories,Q1316a,APLUS,"Uninterruptible Power Supply (UPS),Switching Power Supply,AC / DC Adapter,Power Converter,Power Bank,Other Computer Components & Parts",
"APO International Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0233b,"OXOPO,APOG",Keyboards and Consumer Electronics,
"APOLLO ELECTRONICS CO., LTD.",TaiNEX 2,Intelligent Business Solutions,P0907,,"Mobile POS,POS Printer ,Smart vending",
AptObject Corporation,TaiNEX 2,AI Computing & System Integration Solution,R0731,AptBee,,
AQUIVIO Co. |Ltd,TaiNEX 2,InnoVEX,S0923,,,2026-03
ARaymond,TaiNEX 2,InnoVEX,S1216,ARaymond,,
ARBOR Technology Corp.,TaiNEX 2,Industrial IoT & Embedded Systems,P0713,"ARBOR,AMobile","Industrial Computer,Embedded Products,Industrial Motherboard,Human Machine Interface (HMI),IIoT Platform,IIoT Solution",
ARCTIC GmbH,TaiNEX 1,Components & Advanced Power Tech,I1229,ARCTIC,"Heat Sink & Pipe,Thermal Adhesive & Grease,Mini PC Barebone,PC Cooling & Fan,Other Computer Components & Parts,Liquid Cooling System ,AI Air Cooling / Liquid Cooling System ,Heat Dissipation Material",
ARDGE Inc.,TaiNEX 2,InnoVEX,S0903,,,
AREA T886 LTD.,TaiNEX 2,InnoVEX,S0923,,,2026-03
Areca Technology Corporation,TaiNEX 2,Consumer Electronic Accessories,Q0331a,ARECA,"Communication Cable,Embedded Products,Other Computer Peripherals,Surveillance Accessories,Cloud Computing & IT Services",2026-03
Arestech Solution Inc.,TaiNEX 2,Industrial IoT & Embedded Systems,P0321a,"Arestech,兆雲智能",Embedded Products,
"ARIESYS TECHNOLOGY Co., LTD.",TaiNEX 2,Industrial IoT & Embedded Systems,P1301a,,Industrial Computer,2026-03
"ARKTEK Technology Co., Limited",TaiNEX 1,Gaming,L0028,ARKTEK,"PC Motherboard,Computer Case,Computer Power Supply,Solid State Drive (SSD),Graphics Card,DRAM",2026-03
ARMCo Lab,TaiNEX 2,InnoVEX,S0304,,Big Data & Analytics / AI,2026-03
"Ashinne Technology Co., Ltd.",TaiNEX 1,System Integration Solution,M1207a,,Industrial Computer,
Asiabots Limited,TaiNEX 2,InnoVEX,S0311a,,,2026-03
AsiaRF Co. Ltd.,TaiNEX 1,Advanced Communication & Networking,K0013,AsiaRF,"Gateway,Network Adapter / Network Interface Card (NIC),Other Networking",
ASON INNOVATION,TaiNEX 2,InnoVEX,S1014,,,2026-03
ASPEED Technology Inc.,TaiNEX 1,System Integration Solution,M0403a,"ASPEED,Cupola360","IC Design, Packaging & Foundry,IP Camera",2026-03
ASRock Inc.,TaiNEX 2,Storage & Management Solutions,R0514,"ASRock,ASRockRack,ASRock Industrial,ASJade Tech",Server,2026-03
ASSIGN Inc.,TaiNEX 2,InnoVEX,S0118,,"Consumer Tech,Generative AI",2026-03
Astera Labs Taiwan Limited,TaiNEX 1,Semiconductors & Hospitality Suites,G0017,,"IC Design, Packaging & Foundry",2026-03
Astro Circuit Design Co. | Ltd.,TaiNEX 2,InnoVEX,S0924,,,2026-03
ASUS TECHNOLOGY INC.,TaiNEX 1,System Integration Solution,M0820,ASUS,Laptop Computer,2026-03
ASUSTeK Computer Inc.,TaiNEX 1,System Integration Solution,M0504,ROG,Laptop Computer,2026-03
ASUSTeK Computer Inc.,TWTC Hall 1,Robotics,A0618,,,2026-03
ASUSTOR Inc.,TaiNEX 2,Storage & Management Solutions,R0702,ASUSTOR,Others,
Atech Flash Technology,TaiNEX 2,Consumer Electronic Accessories,Q0506,AFT,Card Reader,2026-03
"ATEN INTERNATIONAL CO., LTD.",TaiNEX 1,Advanced Communication & Networking,K0116,ATEN,Other Networking,2026-03
ATK GEAR GLOBAL LIMITED,TaiNEX 2,InnoVEX,S0309a,,"Head & Bluetooth Earphone,Bluetooth Keyboard & Mouse,Other Computer Peripherals",2026-03
"Atomrock, LLC.",TaiNEX 1,International,N1329,"Atomrock, VisionSense","Data Capturing & Identification,Image Recognition Service / Device,IIoT Platform,IIoT Solution,IP Camera,Quality Inspection & Testing,Business Intelligence Service ,Edge Computing",
"ATP Electronics, Inc.",TaiNEX 2,Storage & Management Solutions,R0914,,"Embedded Products,Solid State Drive (SSD)",2026-03
ATW TECHNOLOGY INC.,TaiNEX 1,Advanced Communication & Networking,K1131,"ATW,LOOPCOMM","Router,Gateway",2026-03
AUO Display Plus Corporation,TWTC Hall 1,ePaper Pavilion,D0407a,,E-paper Display,
"AURAS Technology Co., Ltd.",TaiNEX 1,AI Computing & Tech,J0806,AURAS,,2026-03
AuthenX Inc.,TaiNEX 2,InnoVEX,S0213a,,,2026-03
Avalanche Computing Taiwan Inc,TaiNEX 2,InnoVEX,S0311a,Avalanche Computing Taiwan Inc,,2026-03
AVC Industrial Corp.,TWTC Hall 1,TechXperience,A0219,"AVC,全冠",Other Computer Components & Parts,2026-03
"AVEMA TECHNOLOGY CO., LTD.",TaiNEX 1,Smart Mobility and Drone Tech,N1023,,"GPS,Other Automobile Electronics,Car Tracker",2026-03
"AVerMedia Technologies, Inc.",TaiNEX 1,AI Computing & Tech,J0802,"AVerMedia,圓剛",,
Avertronics INC.,TWTC Hall 1,TechXperience,A1111a,avin,"Electrical Connectors,Computer Cables & Connectors",2026-03
AWAREK,TaiNEX 2,InnoVEX,S1014,,,2026-03
AWL - Electricity,TaiNEX 2,InnoVEX,S0506,,,2026-03
Axelera AI,TaiNEX 1,AI Computing & Tech,K0104,Metis AI Platform,Edge Computing,2026-03
Axiado Corporation,TaiNEX 2,InnoVEX,S0728,,,2026-03
Axle International Holding Limited,TaiNEX 1,Gaming,L0027,AXLE,"PC Motherboard,Solid State Drive (SSD),Graphics Card,DRAM",2026-03
BACKBONE GLOBAL COMPANY LIMITED,TaiNEX 1,Gaming,L0018,"Backbone,Wavebone",,2026-03
Bamboo Technology,TaiNEX 2,InnoVEX,S0311a,,,2026-03
BarkingDog Technology Inc.,TaiNEX 2,InnoVEX,S0311a,BarkingDog Technology Inc.,,2026-03
Base Wisdom Co. |Ltd.,TaiNEX 2,InnoVEX,S0923,,,2026-03
BAYLITE OPTOELECTRONICS TECHNOLOGY CO. LTD,TaiNEX 1,Advanced Communication & Networking,K0019,Baylite,Optical Fiber,2026-03
BC Award,TWTC Hall 1,Robotics,A1235a,,Others,2026-03
Beam Tech Electronics,TaiNEX 2,Consumer Electronic Accessories,Q1417,PowerScan,Uninterruptible Power Supply (UPS),2026-03
BEC Technologies,TaiNEX 1,Smart Mobility and Drone Tech,N0814,,,
Bederly Company Limited,TaiNEX 2,InnoVEX,S1004,,"Health & Biotech,Generative AI",2026-03
"BeiJing Jinhengtengwei Kejian Commercial and Trading Co., Ltd.",TaiNEX 1,International,N0226,,"PC Keyboard,Mouse",2026-03
"Beijing Ocypus Technology Co.,Ltd.",TaiNEX 1,Components & Advanced Power Tech,I0307,,"Computer Case,Computer Power Supply,PC Cooling & Fan",2026-03
"Beijing Spirit Technology Development Co., Ltd.",TaiNEX 2,Intelligent Business Solutions,P0303a,,"Printer,POS Printer ,Barcode Printer",
Beliminate,TaiNEX 2,InnoVEX,S1213,,,2026-03
Bellwether Electronic Corp.,TaiNEX 1,System Integration Solution,M1119a,Bellwether,AI Server,
Bellwin Information Co Ltd,TaiNEX 1,Advanced Communication & Networking,K0024,Bellwin,Other Networking,
Bench2Bean,TaiNEX 2,InnoVEX,S1213,,,2026-03
BenQ Corporation,TaiNEX 1,System Integration Solution,M0104,BenQ,"Projector,IIoT Solution",2026-03
Best AI Awards,TaiNEX 2,InnoVEX,S0323a,,,2026-03
BESTRADE TECHNOGY CO. LTD,TWTC Hall 1,TechXperience,A0426,,"Computer Case,Computer Power Supply",2026-03
BestU Co. | Ltd.,TaiNEX 2,InnoVEX,S0323a,,,2026-03
Bigstack,TaiNEX 2,InnoVEX,S0524,,"Cloud Management, DevOps & API Services,Green Tech & Sustainability",2026-03
BILINK CORP.,TaiNEX 2,InnoVEX,S0311a,BILINK CORP.,,2026-03
"BIOBIO Technology Co., Ltd.",TWTC Hall 1,TechXperience,A0137a,"AIBIOLIFE,BIOLIFE",Chatbot,2026-03
BioPro Scientific Co. Ltd.,TaiNEX 2,InnoVEX,S0323a,,,2026-03
BIOSTAR MICROTECH INT'L CORP.,TaiNEX 2,Industrial IoT & Embedded Systems,P0914,BIOSTAR,"Industrial Computer,Embedded Products,Industrial Motherboard,PC Motherboard,Graphics Card,DRAM",
"BIWIN STORAGE TECHNOLOGY CO., LTD.",TaiNEX 2,Storage & Management Solutions,R0102,,"Solid State Drive (SSD),USB Flash Drive,Memory Card",
BizLink International Corp.,TaiNEX 1,System Integration Solution,N0802,BizLink,"Robot,Electric Vehicle Battery & Charger,ADAS (Advanced Driver Assistance System),Smart Cockpit",
BOMARE COMPANY SARL,TaiNEX 1,International,N1331,STREAM,,
"BOTH HARVEST TECHNOLOGY CO., LTD.",TaiNEX 2,Industrial IoT & Embedded Systems,P0522,,"Industrial Computer,Embedded Products,Human Machine Interface (HMI)",2026-03
"Bowers (XIAMEN) Technology Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q1230a,Bowers,"Server,All-In-One & Desktop Computer,Laptop Computer,Industrial Computer",
BRICKS DISPLAY INC,TaiNEX 2,InnoVEX,S1014,,,2026-03
Brinno Incorporated,TaiNEX 2,AI Computing & System Integration Solution,R0732,Brinno,Image Recognition Service / Device,
Busan-Jinhae Free Economic Zone,TaiNEX 2,InnoVEX,S0203a,,,2026-03
Business France,TaiNEX 2,InnoVEX,S1216,,"Virtual Reality,Fast Charging Technology,Other Computer Peripherals,Industrial Software,Mobile App,Deep Learning Service / Device,Cloud Computing & IT Services,System Integration",
BWAVE Inc.,TaiNEX 2,InnoVEX,S0203a,,,2026-03
"BXB Electronics Co., Ltd.",TaiNEX 1,Advanced Communication & Networking,K1321a,BXB,"Video Camera,Microphone,Wireless Audio Receiver, Adapter & Transmitter,Other Networking,Power Amplifier (PA),Laser Pointer",2026-03
BYOND ASIA TECH LTD,TaiNEX 2,Consumer Electronic Accessories,Q0131,"Byond Asia, HoloMe",Generative AI / LLM,
"Bytelingo Co., Ltd.",TaiNEX 2,InnoVEX,S0304,,Big Data & Analytics / AI,2026-03
C-Media Electronics Inc.,TaiNEX 2,AI Computing & System Integration Solution,R0120,C-Media,"IC Design, Packaging & Foundry",2026-03
"C.D. Great Industry Co., LTD",TaiNEX 2,Consumer Electronic Accessories,Q0910,,"Handheld Holder,TV Mount,Other Computer Peripherals",
"C.Y. Intelligence Co., Ltd.",TaiNEX 2,AI Computing & System Integration Solution,R0832,,,
Cable Technology Corp.,TaiNEX 1,Components & Advanced Power Tech,I0001,PERFEKT,"PC Cooling & Fan,Other Computer Components & Parts,Fast Charging Technology,USB Adapter, Cable & Hub",2026-03
CADASU,TaiNEX 2,InnoVEX,S1014,,,2026-03
Caesarea Labs,TaiNEX 2,InnoVEX,S0724,,,2026-03
Canadian Trade Office in Taipei,TaiNEX 2,InnoVEX,S0506,,,2026-03
CancerFree Biotech Ltd.,TaiNEX 2,InnoVEX,S0311a,,,2026-03
"Canner, Inc",TaiNEX 2,InnoVEX,S0524,,"Artificial Intelligence & Big Data,Generative AI & LLM",2026-03
"Carl Zeiss Co., Ltd.",TaiNEX 1,AI Computing & Tech,J1109,METROTOM 1,"Automated & Industrial Controller Module,Quality Inspection & Testing",2026-03
"Castles Technology Co., Ltd.",TaiNEX 2,Intelligent Business Solutions,P0508,CASTLES,Business Intelligence Service,2026-03
Castrol (Taiwan) Limited,TaiNEX 1,System Integration Solution,N1314,,,
"CAYIN Technology Co., Ltd.",TaiNEX 2,Intelligent Business Solutions,P1202b,CAYIN,"E-paper Display,Server,Business Intelligence Service",
CCBioTech Co. | Ltd.,TaiNEX 2,InnoVEX,S0923,,,2026-03
CE LINK LIMITED,TaiNEX 2,Consumer Electronic Accessories,Q0909,,"Handheld Cable,USB Adapter, Cable & Hub",
Celestia Energy,TaiNEX 2,InnoVEX,S0224,,others,
Center Stage,TaiNEX 2,InnoVEX,S1124,,Others,2026-03
CENTURY TRADING CORPORATION,TWTC Hall 1,Robotics,A0914,"YAMAMOTO,FANUC","Electrical & Electronic Components Making Machinery Turnkey Equipment,Robotic Arm",2026-03
"CerTone Heat Solution Co., Ltd.",TWTC Hall 1,TechXperience,A0216,,,2026-03
"Cervoz Technology Co., Ltd.",TaiNEX 2,Industrial IoT & Embedded Systems,P0820,Cervoz,"Embedded Products,Solid State Drive (SSD),Memory Card,Other Add-On & Interface Cards,DRAM",
Champtek Incorporated,TaiNEX 2,Intelligent Business Solutions,P1004,"Champtek,Scantech ID",Business Intelligence Service,2026-03
Chang Gung University Computer Science & Chang Gung Memorial Hospital Rehabilitation,TaiNEX 2,InnoVEX,S1204,,,2026-03
"Chang Ying Technology Co., Ltd",TaiNEX 1,System Integration Solution,L0202,,,2026-03
"ChangXin Innovations Technology CO.,Ltd.",TaiNEX 2,InnoVEX,S0604,,"Kiosk,Bar Code Scanner,Printer,Barcode Printer,POS Accessories ,POS Printer",
"Channel Well Technology Co., Ltd.",TWTC Hall 1,TechXperience,A0418,CWT,"AC / DC Adapter,Computer Power Supply",
Charco Science and Research Co. | Ltd.,TaiNEX 2,InnoVEX,S1320,,,2026-03
CHAVER COMPUTER CO.LTD,TaiNEX 1,Components & Advanced Power Tech,I0010,,"Computer Case,Computer Power Supply,PC Cooling & Fan",2026-03
CHELPIS Quantum Corporation,TaiNEX 1,System Integration Solution,M1111a,,"IC Design, Packaging & Foundry",2026-03
Chen-Source Inc.,TaiNEX 2,Consumer Electronic Accessories,Q0923,Xergo,TV Mount,2026-03
"Chenbro Micom Co., LTD.",TaiNEX 1,AI Computing & Tech,J0317a,Chenbro,"Server,Mini PC Barebone",2026-03
Chenming Electronic Tech. Corp. (UNEEC),TaiNEX 1,Components & Advanced Power Tech,I1118,UNEEC,Other Computer Components & Parts,2026-03
"Chia Cherne Industry Co., Ltd.",TaiNEX 1,Components & Advanced Power Tech,I0503,CoolJag,Heat Sink & Pipe,2026-03
"CHIEFTEC - Matronix Int Co., Ltd.",TaiNEX 1,Components & Advanced Power Tech,I0013,CHIEFTEC,Computer Power Supply,
Chih Kang Material Company Ltd.,TaiNEX 2,Industrial IoT & Embedded Systems,P1413,,"Uninterruptible Power Supply (UPS),Server,Industrial Computer",
"Chimes AI, Inc.",TaiNEX 2,InnoVEX,S0311a,"Chimes AI, Inc.",,2026-03
"Ching Tai Electric Wire & Cable Co., Ltd",TaiNEX 1,Advanced Communication & Networking,K0018,CTi,Communication Cable,2026-03
Chipsea Technologies (Shenzhen) Corp.,TaiNEX 2,Industrial IoT & Embedded Systems,P0825,chipsea,Laptop Computer,
"CHIPSET COMMUNICATION CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,P1433,,"Other Computer Peripherals,KVM Cable & Switch,USB Adapter, Cable & Hub",
"Chongqing BOE Smart Electronic Systems Co., Ltd.",TWTC Hall 1,ePaper Pavilion,D0229a,,E-paper Display,2026-03
ChoozMo Inc.,TaiNEX 2,InnoVEX,S0712a,,,2026-03
"CHT Security Co., Ltd.",TaiNEX 2,AI Computing & System Integration Solution,R0632,"SecuTex,CypherCom,HorusEyes",Antivirus & Security Software,
CHUAN CHiH NETWORK AND COMMUNICATION INC.,TaiNEX 2,InnoVEX,S0323a,,,2026-03
Chung Yuan Christian University (Industry Accelerator & Incubation Center),TaiNEX 2,InnoVEX,S1014,,,2026-03
"Cincon Electronics Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0716,,"AC / DC Adapter,Power Converter",
"Cincoze Co., Ltd.",TaiNEX 2,Industrial IoT & Embedded Systems,Q0401a,Cincoze,"Industrial Computer,Embedded Products",
"CipherLab Co., Ltd.",TaiNEX 2,Intelligent Business Solutions,P0307a,"CipherLab,欣技資訊",Data Capturing & Identification,
"Circulus, Inc.",TWTC Hall 1,Robotics,A0618,,,2026-03
Clickgaming Distribution Group Sdn. Bhd.,TaiNEX 2,Consumer Electronic Accessories,Q1206,TTRacing,"Gaming Accessories,Esports ,Gaming Furniture (Gaming Chair),Gaming Furniture (Smart Adjustable Desk)",
CLOUDENGINE DIGITAL PTE LTD,TaiNEX 1,International,N1230,,"System Integration ,CPU/GPU/APU ,AI Server",2026-03
