event,year,date,company,tickers,speaker,announcement,category,summary,key_number,metric_value,metric_unit,ship_quarter,availability,quote,confidence,video_id,video_url
COMPUTEX,2024,2024-06-03,AMD,AMD;2357.TW,Lisa Su,ASUS Ryzen AI 300 AI PC lineup,partnership,"ASUS announced a broad AI PC lineup powered by AMD third-generation Ryzen AI processors, spanning ZenBook, ProArt, Vivobook, ASUS TUF, and ROG laptops. ASUS said it would make third-gen Ryzen AI systems available for purchase in July.",50 TOPS,50.0,TOPS,2024Q3,announced,"I think later today at 4 p.m. we'll be unveiling a range of cutting-edge AI PCs across our portfolio with brand new ZenBook, ProArt, Vivobook, ASUS TUF, and ROG laptops powered by the 3rd Gen AMD Ryzen AI processors.",0.93,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA
COMPUTEX,2024,2024-06-03,AMD,AMD,Lisa Su,Versal AI Edge Gen 2 early access,accelerator,"AMD announced early access for the next-generation Versal AI Edge Gen 2 platform. It integrates pre-processing, inferencing, and post-processing into a single adaptive chip for edge AI devices.",More than 30,30.0,count,,sampling,"More than 30 of our strategic partners are already developing Edge AI devices powered by our new single-chip Versal solution, and we are incredibly excited about the opportunity to drive AI at the Edge and see significant opportunities to extend our embedded market leadership with these new technologies.",0.95,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA
COMPUTEX,2024,2024-06-03,AMD,AMD,Lisa Su,5th Gen EPYC Turin,cpu,"AMD previewed its 5th Gen EPYC processor, codenamed Turin, for data center servers. The CPU features up to 192 cores, supports current memory and IO standards, and is designed as a drop-in replacement for existing 4th Gen EPYC platforms.",192 cores,192.0,count,2H24,announced,Turin features 192 cores and 384 threads and has 13 different chiplets built in 3 and 6 nanometer process technology.,0.97,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA
COMPUTEX,2024,2024-06-03,AMD,AMD,Lisa Su,Stable Diffusion 3 Medium release,software,Stability AI announced that Stable Diffusion 3 Medium will be released for public download. The model is described as an optimized SD3 version that can run on MI300 and is compact enough for Ryzen AI laptops.,June 12th,,,2024Q2,announced,Today we're announcing that on June 12th we will release the Stable Diffusion 3 medium model for everyone to download.,0.96,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA
COMPUTEX,2024,2024-06-03,AMD,AMD,Lisa Su,Instinct MI325X,gpu,AMD announced the Instinct MI325X accelerator as the next product in its annual data-center GPU cadence. It adds faster HBM3E memory and is designed to use the same infrastructure as MI300 for easier customer transition.,288 gigabytes,288.0,GB,2H24,roadmap,"MI325 extends our leadership in generative AI with up to 288 gigabytes of ultra-fast HBM3E memory with 6 terabytes per second of memory bandwidth, and it uses the same infrastructure as MI300, which makes it easy for customers to transition.",0.97,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA
COMPUTEX,2024,2024-06-03,AMD,AMD,Lisa Su,Instinct MI350 series,gpu,"AMD announced the Instinct MI350 series for 2025, based on the new CDNA 4 architecture. The accelerator family will use 3nm process technology, support FP4 and FP6 data types, and target a large generational AI performance uplift.",35 times increase,35.0,x,2025,roadmap,"And with CDNA 4, we're on track to deliver 35 times increase.",0.95,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA
COMPUTEX,2024,2024-06-03,AMD,AMD,Lisa Su,Instinct MI400 series,gpu,AMD committed to a 2026 Instinct MI400 series using a new CDNA Next architecture. This extends AMD's data-center GPU roadmap beyond MI325X and MI350 on an annual cadence.,2026,2026.0,year,2026,roadmap,"And then in 2026, we'll deliver another brand-new architecture with CDNA next in the MI400 series.",0.94,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA
COMPUTEX,2024,2024-06-03,AMD,AMD,Lisa Su,Ultra Accelerator Link 1.0 standard,networking,"AMD announced progress toward the Ultra Accelerator Link open scale-up interconnect standard. UA Link is positioned as an open alternative to proprietary accelerator fabrics, with the 1.0 standard targeted for later in 2024 and chips already in development.",1.0 standard,1.0,version,2H24,roadmap,"The UA Link 1.0 standard is on track for later this year, with chips supporting UA Link already well into development from multiple vendors.",0.93,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA
COMPUTEX,2024,2021-06-14,Arm,ARM,Rene Haas,Armv9 architecture,platform,"Arm announced Armv9 as the next major Arm architecture milestone, spanning CPUs from microcontrollers to servers. It is positioned as the secure foundation for the next decade of Arm-based compute.",300 billion arm chips,300000000000.0,count,,announced,recently we announced arm v9 the next major milestone for the arm architecture for the decade ahead arm v9 will apply across all our cpus from those smallest microcontrollers to the largest server-based designs,0.95,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI
COMPUTEX,2024,2021-06-14,Arm,ARM,Rene Haas,Arm Confidential Compute Architecture,platform,"Arm introduced Confidential Compute Architecture as part of the Armv9 roadmap to protect code and data while in use. It adds hardware-backed realms separated from secure and non-secure worlds, targeting stronger data protection across devices and infrastructure.",,,,,roadmap,the rmv9 roadmap introduces the arm confidential compute architecture this technology shields portion of code and data from access or modification while in use even from privileged software by performing computation in a hardware-based secure environment,0.92,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI
COMPUTEX,2024,2021-06-14,Arm,ARM;GOOGL,Rene Haas,Memory Tagging Extensions in first-generation Armv9 CPUs,software,"Arm said Memory Tagging Extensions, developed with Google, will be supported in first-generation Armv9 CPUs. The feature is intended to uncover memory vulnerabilities before exploitation and is slated to appear in devices the following year.",,,,2022,announced,support of memory tagging extensions are an integral part of the first generation of arm v9 cpus available in devices next year,0.9,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI
COMPUTEX,2024,2021-06-14,Arm,ARM,Rene Haas,Arm Total Compute solutions,platform,"Arm launched its latest Total Compute solutions as a blueprint combining Arm CPUs, GPUs, software, tools, physical IP and standards for client systems. The platform is intended to improve performance, efficiency and system scalability across premium, performance and efficiency tiers.",,,,,announced,now last week we launched our latest manifestation of total compute solutions and our first cortex cpu is on arm v9,0.88,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI
COMPUTEX,2024,2021-06-14,Arm,ARM,Rene Haas,Cortex-X2 CPU,cpu,Cortex-X2 is Arm’s first Armv9 flagship CPU from the Cortex-X custom program. It targets ultimate performance for premium client devices and is cited as delivering higher performance than Cortex-X1 on the same process and frequency.,16 improvement performance,16.0,%,,announced,cortec x2 is our first v9 flagship cpu for ultimate performance from the cortex custom x program x2 delivers another 16 improvement performance compared to cortex x1 running on the same process at the same frequency,0.93,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI
COMPUTEX,2024,2021-06-14,Arm,ARM,Rene Haas,Cortex-A710 CPU,cpu,Cortex-A710 is Arm’s first Armv9 big CPU. It emphasizes energy efficiency gains over Cortex-A78 for next-generation client SoCs.,30 energy efficiency gain,30.0,%,,announced,cortex a710 it's our first v9 big cpu with a remarkable 30 energy efficiency gain over our previous generation cortex a78,0.93,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI
COMPUTEX,2024,2021-06-14,Arm,ARM,Rene Haas,Cortex-A510 CPU,cpu,"Cortex-A510 is Arm’s first new little core in four years. It targets smartphones, home devices and wearables with higher performance in a low-power profile.",35 performance improvement,35.0,%,,announced,now our first new little core in four years is the cortex a510 which delivers an impressive 35 performance improvement compared to the previous generation cortex 855 making it our most capable little core ever,0.91,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI
COMPUTEX,2024,2021-06-14,Arm,ARM,Rene Haas,Scalable Dynamic Shared Unit for Armv9 CPU clusters,platform,Arm announced a new scalable Dynamic Shared Unit to support high-performance Armv9 CPU clusters. It enables designs with up to eight Cortex-X2 cores while maintaining an efficiency-oriented architecture.,eight cortex x2 cores,8.0,count,,announced,for uncompromised performance the v9 cpu cluster is now supported by a brand new scalable dynamic shared unit this allows a maximum of eight cortex x2 cores while still staying true to arm's dna and that's efficiency,0.88,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI
COMPUTEX,2024,2021-06-14,Arm,ARM,Rene Haas,Mali-G710 GPU,gpu,"Mali-G710 is Arm’s highest-performing GPU to date, aimed at flagship and premium smartphones and Chromebooks. It brings higher graphics performance and machine-learning uplift versus the prior generation.",20 performance improvement,20.0,%,,announced,mali g710 is the highest performing gpu from arm ever aimed at flagship and premium smartphones in the growing chromebook market it delivers a 20 performance improvement and 35 ml uplift over the previous generation,0.92,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI
COMPUTEX,2024,2021-06-14,Arm,ARM,Rene Haas,Mali-G510 and Mali-G310 GPUs,gpu,"Arm announced Mali-G510 and Mali-G310 GPUs for performance and ultra-efficient client segments. They target devices ranging from digital TVs and set-top boxes to VR, AR and wearables.",,,,,announced,mali g510 and mali g310 bring new features and technologies to the performance and ultra efficient segments powering premium graphic experiences from a wide range of devices from digital tvs and subject boxes through vr ar and wearables,0.88,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI
COMPUTEX,2024,2021-06-14,Arm,ARM,Rene Haas,Neoverse V1 platform,platform,"Neoverse V1 is Arm’s first platform in a new performance-computing tier for edge-to-cloud infrastructure. It targets vector, machine-learning and high-CPU-performance workloads while preserving SoC design flexibility.",,,,,announced,neoverse v1 is the first in a new performance computing tier delivering significant uplifts in vector and machine learning along with high cpu performance while still providing the soc design flexibility they require,0.9,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI
COMPUTEX,2024,2021-06-14,Arm,ARM,Rene Haas,Neoverse N2 platform,platform,"Neoverse N2 is the first Neoverse platform based on Armv9, targeting infrastructure workloads with better security, power efficiency and performance. Arm highlighted a single-threaded performance gain versus Neoverse N1 at similar power and area efficiency.",40 percent higher single threaded performance,40.0,%,,announced,the neoverse n2 platform is the first based on the arm v9 with improvements to security power efficiency and performance it delivers 40 percent higher single threaded performance compared to n1 at the same level of power and area efficiency,0.94,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI
COMPUTEX,2024,2021-06-14,Arm,ARM,Rene Haas,SVE2 in Neoverse N2,software,"Arm said Neoverse N2 is the first platform to feature SVE2, an Armv9 capability for cloud-to-edge performance efficiency. It targets workloads including machine learning, DSP, multimedia and 5G systems with improved programmability and portability.",,,,,announced,now neoverse n2 is also the first platform to feature sve2 an rmv9 feature that drives large improvements in cloud to edge performance efficiency for a broader set of use cases like machine learning digital signal processing multimedia and 5g systems,0.87,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI
COMPUTEX,2024,2021-06-14,Arm,ARM;NVDA,Rene Haas,NVIDIA Grace Arm-based data center CPU,cpu,Arm highlighted NVIDIA Grace as NVIDIA’s first Arm-based data-center CPU for high-performance computing workloads. The CPU is positioned to deliver a large performance improvement versus current fastest servers on complex HPC workloads.,10x,10.0,x,,announced,grace is nvidia's first arm-based data center cpu it will deliver 10x to performance of today's fastest server running some of the most complex high-performance computing workloads,0.86,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI
COMPUTEX,2024,2021-06-14,Arm,ARM;NVDA,Rene Haas,NVIDIA Arm HPC Developer Kit,server,"Arm described a new NVIDIA Arm HPC Developer Kit combining Ampere Altra CPUs, NVIDIA A100 GPUs and NVIDIA BlueField-2 DPUs. Taiwan’s National Center for High Performance Computing was named among initial deployment sites.",80 neoverse cores,80.0,count,,announced,and finally a new nvidia arm hpc developer kit this kit includes an ampere ultra cpu which contains 80 neoverse cores running up to 3.3 gigahertz dual nvidia a100 gpus each of those delivering 312 teraflops of floating point deep learning ml performance and two nvidia bluefield 2 dpus,0.86,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI
COMPUTEX,2024,2021-06-14,Arm,ARM;2454.TW;NVDA,Rene Haas,MediaTek-NVIDIA AI thin-and-light laptop reference platform,partnership,Arm said MediaTek and NVIDIA announced a specialized reference platform for AI-enabled thin-and-light laptops. The platform signals ecosystem work around Arm-based client PCs with AI acceleration.,,,,,announced,our long-time partner mediatek have been delivering specialized processing solutions for many years in the mobile space and recently they partnered with nvidia to announce a specialized reference platform for an ai enabled thin and light laptop,0.84,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI
COMPUTEX,2024,2021-06-14,Arm,ARM;2401.TW,Rene Haas,Sunplus autonomous robotic industrial SoC,accelerator,"Sunplus is developing an SoC for autonomous robotic industrial applications using Arm Cortex-A CPU, Mali GPU and Ethos neural processors. The design shows Arm IP being combined for specialized endpoint AI systems.",,,,,announced,sunplus is developing an soc that combines an arm cortex acpu molle gpu and our ethos neural processors this soc has been designed specifically for autonomous robotic industrial applications,0.85,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI
COMPUTEX,2024,2021-06-14,Arm,ARM;HIMX,Rene Haas,Himax next-generation always-on smart camera AI SoC,accelerator,Himax is working on a next-generation AI SoC for always-on smart cameras based on Cortex-M55 and Ethos-U55. The product targets low-power endpoint AI vision applications.,,,,,announced,hi-max is working on their next generation aisoc uniquely designed for always-on smart cameras that's based on the cortex m55 and ethos u55 solution i mentioned earlier,0.86,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI
COMPUTEX,2024,2024-06-03,ASUS,2357.TW;AMD,ASUS launch,ASUS Zenbook S16,platform,"A new ultra-slim 16-inch AI PC in the Zenbook line using AMD Ryzen AI 300, positioned as a flagship everyday Copilot+ PC-class laptop with local AI performance and premium ceramic-aluminum chassis. It is available for preorder immediately through ASUS channels.",1.5 kilos,1.5,kg,2024Q2,announced,"all of this and even more Mark our brand new Zen book series the flagship of our series and aiming our performance with third generation ryzen AI processor means it's significantly faster in so many different way over previous gen and M3 fer GPU CPU 50 trillion top soft performance more memory bandwidth more pixel outlet for all types of AI and creativity task and all this Freedom comes to you for the price starting from today us 1,39 ey available for pre-order on usb.com and worldwide Asus store starting from today",0.86,L-gSPB-WRSs,https://www.youtube.com/watch?v=L-gSPB-WRSs
COMPUTEX,2024,2024-06-03,ASUS,2357.TW;AMD;NVDA;MSFT,ASUS launch,ASUS TUF Gaming A16,platform,"A redesigned TUF Gaming A16 laptop with Ryzen AI 9 HX-class silicon, Copilot+ PC readiness, and higher total system power for gaming and AI workloads. The thermal redesign is positioned to support higher performance while lowering skin temperature versus the prior generation.",170 watts,170.0,W,,announced,our T gaming a16 can support higher power limits up to 170 watts of total system performance power in manual modes and this generation of tough gaming a16 is significantly faster compared to the previous gen of ryzen I 89 45h,0.84,L-gSPB-WRSs,https://www.youtube.com/watch?v=L-gSPB-WRSs
COMPUTEX,2024,2024-06-03,ASUS,2357.TW;AMD;NVDA;MSFT,ASUS launch,ASUS TUF Gaming A14,platform,"A new compact 14-inch TUF Gaming laptop aimed at portable gaming, pairing Ryzen AI 9 HX-class CPU/NPU capability with GeForce RTX discrete graphics. ASUS emphasized its small size and high combined CPU/GPU power budget for the form factor.",1.46 kilogram,1.46,kg,,announced,the tough A14 is incredibly compact weights only just a 1.46 kilogram but despite it size it delivered impressive performance typical laptop as size usually handles a 30 wat CPU even if you would have a discrete graphics it's low powered,0.86,L-gSPB-WRSs,https://www.youtube.com/watch?v=L-gSPB-WRSs
COMPUTEX,2024,2024-06-03,ASUS,2357.TW,ASUS launch,ASUS ProArt Display PA27JCV 5K,other,"ASUS expanded the ProArt monitor lineup with the 5K PA27JCV, a creator display with high pixel density, factory calibration, DCI-P3 color coverage, USB-C power delivery, and KVM features. ASUS gave an explicit Q3 availability target.",218 PPI,218.0,PPI,2024Q3,announced,please anticipate the 5K Po pa27 jcv in Q3,0.88,L-gSPB-WRSs,https://www.youtube.com/watch?v=L-gSPB-WRSs
COMPUTEX,2024,2024-06-03,ASUS,2357.TW,ASUS launch,ASUS ProArt Display PA32QCV 6K,other,ASUS announced the ProArt PA32QCV 6K monitor as part of its expanded ProArt display lineup for creators needing more workspace and color-accurate high-resolution panels. The 6K model offers substantially more workspace than 4K according to ASUS.,145% more,145.0,%,,announced,the 5K monitor offers 77% more workspace than 4K and the 6K monitor offers 145% more with these large canvases you can effortlessly navigate through your creative content without constant zooming enabling greater efficiency in your work,0.82,L-gSPB-WRSs,https://www.youtube.com/watch?v=L-gSPB-WRSs
COMPUTEX,2024,2024-06-03,ASUS,2357.TW;AMD;NVDA;ADBE,ASUS launch,ASUS ProArt P16,platform,"A new 16-inch ProArt creator laptop with Ryzen AI 9 HX processor, up to 64GB memory, GeForce RTX 4070 GPU, 4K Lumina OLED touchscreen, and creator-focused software bundles. It is positioned as a high-performance AI laptop for creative workloads and is available for preorder later the same day.",$1899,1899.0,USD,2024Q2,announced,our PO p16 with latest ryzen AI 9hx processor up to 64 gig of memory and the RTX 4070 GPU was start fun 1899 and the px13 was St found $699 available to pre-order on asus.com and Best Buy later today,0.87,L-gSPB-WRSs,https://www.youtube.com/watch?v=L-gSPB-WRSs
COMPUTEX,2024,2024-06-03,ASUS,2357.TW;AMD;NVDA;ADBE,ASUS launch,ASUS ProArt PX13,platform,"A new convertible ProArt creator laptop with Ryzen AI 9 HX-class silicon and a 3K Lumina OLED display, designed for flexible sketching, editing, and mobile creative work. It is part of the new ProArt AI PC lineup and was slated for preorder later the same day.",3K,3.0,K,2024Q2,announced,the pra px13 offer unbounded versatility with its convertible design whether you are sketching on a go on a go or editing high resolution videos design for creators who demands flexibility without compromise on quality a vibrant 3K Lumina OLED brings your creativity to life with cinematic quality,0.84,L-gSPB-WRSs,https://www.youtube.com/watch?v=L-gSPB-WRSs
COMPUTEX,2024,2024-06-03,ASUS,2357.TW;QCOM;MSFT,ASUS launch,ASUS ProArt PZ13,platform,"A rugged detachable ProArt tablet powered by Qualcomm Snapdragon X Series, targeting portable Copilot+ PC creative use with local NPU AI features, an OLED display, bundled keyboard/kickstand, and all-day battery life. ASUS said it will be available in the second half.",45 tops,45.0,TOPS,2H24,announced,powered by the latest Qualcomm Snapdragon X Series with up to 45 tops mpu the pr pc13 effess lights up the copilot plus PC experience and it comes with an Ample Storage of one terabytes so it will be able to save hundreds of high definition videos and thousands of high definition photos bringing all your creative contents at your fingertip,0.88,L-gSPB-WRSs,https://www.youtube.com/watch?v=L-gSPB-WRSs
COMPUTEX,2024,2024-06-03,ASUS,2357.TW,ASUS launch,ASUS MuseTree,software,"ASUS announced MuseTree, an in-house AI ideation tool for creators that generates and refines concepts through idea maps and sketch-based canvases. It runs locally on ProArt laptops, emphasizing offline AI creativity without subscription fees.",,,,,announced,I'm very excited to be here to share with you two Innovative software tools today M Tre and story cube both develop inh housee and capable of taking full advantages of the high performing Pro laptops,0.83,L-gSPB-WRSs,https://www.youtube.com/watch?v=L-gSPB-WRSs
COMPUTEX,2024,2024-06-03,ASUS,2357.TW,ASUS launch,ASUS StoryCube,software,"ASUS announced StoryCube, an AI-powered media file manager for organizing photos and videos across devices by map, timestamp, and AI-recognized scenarios. The tool uses NPU acceleration to categorize creative assets locally.",,,,,announced,story cube is your go-to AI power file manager to keep all your precious memories organized and within reach,0.86,L-gSPB-WRSs,https://www.youtube.com/watch?v=L-gSPB-WRSs
COMPUTEX,2024,2024-06-03,ASUS,2357.TW,ASUS launch,ProArt and CapCut partnership,partnership,"ASUS announced a ProArt partnership with CapCut, including free premium membership and ASUS Dial shortcut integration for the video editor. The deal strengthens ASUS’s creator software bundle around AI-assisted video editing.",,6.0,month,,announced,now one more exciting news not to be missed today we're thrilled to announce our partnership between capot and pro art together to elevate your creative journey,0.86,L-gSPB-WRSs,https://www.youtube.com/watch?v=L-gSPB-WRSs
COMPUTEX,2024,2024-06-03,ASUS,2357.TW;ADBE,ASUS launch,ProArt laptop creator software bundle,software,"ASUS committed that all ProArt laptops will include Adobe Creative Suite and CapCut Pro trial bundles, lowering the entry cost for creator AI software workflows. This is a concrete bundling commitment tied to the new ProArt laptop family.",,3.0,month,,announced,all the pr laptops will include a three month Adobe Creative suits and a six-month of cap cup Pro for free saving you hundreds of dollars to start experiencing the AI superpower in Creative tools,0.88,L-gSPB-WRSs,https://www.youtube.com/watch?v=L-gSPB-WRSs
COMPUTEX,2024,2024-06-03,ASUS,2357.TW;NVDA,ASUS launch,ASUS Blackwell-based AI servers,server,"ASUS announced a Blackwell-based AI server portfolio covering NVIDIA GB200 NVL72, HGX B100, HGX B200, and MGX GB200 NVL2 systems. This expands ASUS server offerings into NVIDIA’s newest AI data-center platform generation.",,5.0,count,,announced,this computex assus is announcing blackw based servers for both the gb200 NV 72 the hgx B100 the hgx b200 as well as the mgx gb200 nbl2,0.9,L-gSPB-WRSs,https://www.youtube.com/watch?v=L-gSPB-WRSs
COMPUTEX,2024,2024-06-03,ASUS,2357.TW;NVDA,ASUS launch,ASUS ESC AI POD with NVIDIA GB200 NVL72,server,ASUS introduced the ESC AI POD rack solution using NVIDIA GB200 NVL72 for trillion-token large language model training and real-time inference. This is a concrete rack-scale AI infrastructure product aligned with NVIDIA Blackwell.,72,72.0,count,,announced,introducing the world most powerful Rec solution today the Asus ESC AI part with Nvidia gb200 mvl 72,0.88,L-gSPB-WRSs,https://www.youtube.com/watch?v=L-gSPB-WRSs
COMPUTEX,2024,2024-06-06,Delta,2308.TW,Delta keynote,Vertical power delivery for AI accelerators,platform,"Delta described vertical last-lap power delivery from the bottom of AI accelerator packages to reduce trace length, voltage drop, and energy loss. The enabling technology is embedding power conversion, including magnetic components, inside the substrate.",13% efficiency improvement,13.0,%,,announced,"By doing something like this, we can reduce the length of the last lab power delivery trace and accordingly cuts down the voltage drop and the energy loss leading to something like 13% efficiency improvement which may seem small but is is a major deal is a major deal.",0.86,iiRie4LmiaA,https://www.youtube.com/watch?v=iiRie4LmiaA
COMPUTEX,2024,2024-06-06,Delta,2308.TW,Delta keynote,Delta liquid cooling portfolio,server,"Delta said it has liquid cooling solutions across air-to-liquid, liquid-to-liquid, and immersion cooling for AI data centers. This positions Delta to support higher-power AI accelerators where traditional air cooling is insufficient.",1.03,1.03,PUE,,announced,"At this point, Delta Electronics has a liquid cooling solution in all three categories.",0.9,iiRie4LmiaA,https://www.youtube.com/watch?v=iiRie4LmiaA
