event_year,company,ticker,announcement,category,summary,key_number,ship_quarter,availability,quote,confidence,verdict,ticker_ok,number_ok,audit_note,series,lang,n_sources,video_url
2024,AMD,AMD,Ryzen AI notebook design wins,platform,"AMD said the first third-generation Ryzen AI notebooks will be available in July and disclosed more than 100 consumer and commercial notebook design wins. Named OEM partners include Acer, Asus, HP, Lenovo, MSI, and others.",more than 100,2024Q3,announced,I'm very happy to say that the first notebooks will be available in July and we have more than 100 consumer and Commercial notebook design wins with Acer Asus HP Lenovo MSI and others,0.96,real_new,True,True,Design-win count and timing supported,keynote_forum,en,1,https://www.youtube.com/watch?v=UkX3EMBE7yI
2024,AMD,AMD,Socket AM5 support through 2027 and beyond,platform,AMD committed to extending the AM5 desktop platform roadmap through 2027 and beyond. This matters for PC OEMs and enthusiasts because it preserves motherboard upgradeability across multiple processor generations.,2027 and Beyond,,roadmap,and we're taking this exact same strategy with socket am5 which we now plan on supporting through 2027 and Beyond,0.95,real_new,True,True,Concrete AM5 support extension announced,keynote,en,1,https://www.youtube.com/watch?v=7NzvVcQjF6o
2024,AMD,AMD,Instinct MI325X,accelerator,AMD announced the Instinct MI325X accelerator as the next product in its annual Instinct roadmap. It adds faster and larger HBM3E memory while keeping infrastructure compatibility with MI300 systems.,288 gabyt,2H24,roadmap,Mi 325 extends our leadership in generative AI with up to 288 gabyt of ultra fast hbm 3E memory with 6 terabytes per second of memory bandwidth,0.95,real_new,True,True,MI325X and 288GB HBM3E are directly supported.,keynote_forum,en,1,https://www.youtube.com/watch?v=UkX3EMBE7yI
2024,AMD,AMD,XDNA 2 NPU with block FP16,npu,"AMD announced its XDNA 2 NPU architecture, including support for block FP16 to combine 16-bit accuracy with 8-bit-like performance for generative AI workloads. This is positioned as a differentiator for local AI generation quality and speed on Ryzen AI PCs.",,2024Q3,announced,now xdna 2 is the first npu to support block 16 floating bit floating point and what that means is block fp16 actually combines the accuracy of 16bit data with the performance of 8bit data,0.94,real_new,True,True,XDNA 2 block FP16 explicitly described,keynote,en,2,https://www.youtube.com/watch?v=7NzvVcQjF6o
2024,AMD,AMD,Instinct MI400 Series with CDNA Next,gpu,"AMD committed to a further next-generation Instinct accelerator family, the MI400 Series, using CDNA Next in 2026. This reinforces AMD’s move to an annual AI accelerator cadence.",,2026,roadmap,and then in 2026 we'll deliver another brand new architecture with cdna next in the Mi 400 series,0.94,real_new,True,True,MI400 CDNA Next roadmap commitment stated,keynote,en,1,https://www.youtube.com/watch?v=7NzvVcQjF6o
2024,AMD,AMD,Ryzen 9 9950X,cpu,AMD introduced the top-of-stack Ryzen 9 9950X desktop CPU with 16 Zen 5 cores and 32 threads. AMD positioned it as the fastest consumer CPU in the world for gaming and content creation workloads.,16 zen5 cores,2024Q3,announced,we have 16 zen5 cores 32 threads up to 5.6 7 GHz boost a large 80 megabyte cache at 170 watt TDP,0.94,real_new,True,True,Ryzen 9950X specs supported,keynote_forum,en,1,https://www.youtube.com/watch?v=UkX3EMBE7yI
2024,AMD,AMD,Instinct MI350 Series / CDNA 4,accelerator,"AMD announced the Instinct MI350 Series for 2025, based on the new CDNA 4 architecture and built on 3 nm process technology. AMD said the generation will support FP4 and FP6 data types and deliver the largest AI performance leap in its history.",35 times increase,2025,roadmap,with cdna 4 We're on track to deliver 35 times increase,0.94,real_new,True,True,CDNA 4 roadmap and 35x supported.,keynote_forum,en,1,https://www.youtube.com/watch?v=UkX3EMBE7yI
2024,AMD,AMD,Instinct MI400 Series / CDNA Next,roadmap,"AMD disclosed a 2026 Instinct roadmap entry, the MI400 Series, based on a new CDNA Next architecture. This extends AMD’s data-center GPU roadmap to an annual cadence beyond MI325X and MI350.",2026,2026,roadmap,and then in 2026 we'll deliver a another brand new architecture with cdna next in the Mi 400 series,0.93,real_new,True,True,Concrete AMD roadmap commitment,keynote_forum,en,1,https://www.youtube.com/watch?v=UkX3EMBE7yI
2024,AMD,AMD,ROCm support for Hugging Face models on MI300X,software,AMD announced expanded out-of-the-box model support for MI300X through its ROCm software stack. The milestone is meant to lower software-friction concerns for customers evaluating AMD Instinct GPUs for generative AI.,"more than 700,000",,GA,"more than 700,000 hugging face models now run out of the box using Rocka on Mi 300X",0.93,real_new,True,True,Quote supports ROCm model count,keynote_forum,en,1,https://www.youtube.com/watch?v=UkX3EMBE7yI
2024,AMD,AMD,ROCm expanded Hugging Face model support on MI300X,software,"AMD announced expanded ROCm software enablement for MI300X, including out-of-the-box support for more than 700,000 Hugging Face models. This strengthens AMD’s software ecosystem for AI inference and developer adoption.","more than 700,000",,GA,"more than 700,000 hugging face models now run out of the box using Rocka on m300x",0.9,real_new,True,True,ROCm MI300X model support number directly stated.,keynote,en,1,https://www.youtube.com/watch?v=7NzvVcQjF6o
2024,Ampere,,Oracle A2 instances with AmpereOne,partnership,"Ampere announced Oracle is in production with AmpereOne-based A2 cloud instances, initially in limited availability in a US region and expanding to more regions. This provides cloud access to AmpereOne CPUs for AI inference and cloud-native workloads.",,,shipping,Oracle I can announce today is uh in production with ampere 1 limited availability in the first region uh starting in the US,0.94,real_new,True,True,Oracle AmpereOne A2 production availability announced.,forum,en,1,https://www.youtube.com/watch?v=4OSRxSDLOcc
2024,Ampere,,AmpereOne 256-core CPU,cpu,"Ampere announced it will add a 256-core CPU to the same AmpereOne platform next year. The roadmap extends Ampere's high-core-count, power-efficient Arm server CPU strategy for cloud and AI inference workloads.",256 core,2025,roadmap,and then we'll add a 256 core CPU next year into that same platform,0.93,real_new,True,True,Concrete 256-core CPU roadmap,forum,en,1,https://www.youtube.com/watch?v=4OSRxSDLOcc
2024,Ampere,,AmpereOne 12-channel platform,cpu,Ampere announced that a 12-channel memory platform for AmpereOne will be available later in 2024. The platform targets higher memory bandwidth for larger generative-AI models and cloud-native workloads.,12 channel,2024,roadmap,our 12 channel platform will be available later this year,0.92,real_new,True,True,Concrete 12-channel platform availability commitment.,forum,en,1,https://www.youtube.com/watch?v=4OSRxSDLOcc
2024,Ampere,,AI Platform Alliance open silicon integration working group,partnership,Ampere announced an open silicon integration working group within the AI Platform Alliance. The group aims to use optimized accelerators and open standards such as UCIe to create integrated chiplet-based AI solutions.,,,announced,but we've now kicked off a working group an open silicon integration working group within the AI platform Alliance,0.87,real_new,True,True,Concrete new working group commitment.,forum,en,1,https://www.youtube.com/watch?v=4OSRxSDLOcc
2024,Arm,ARM,MediaTek joins Arm Total Design,partnership,Arm announced MediaTek as the newest partner in Arm Total Design. The collaboration will pair MediaTek design capabilities with Arm Neoverse CSS to bring more generative-AI silicon solutions to market.,,,announced,and this year at this event I take great pleasure in announcing our newest partner in arm total design mediatech,0.95,real_new,True,True,MediaTek partnership explicitly announced,forum,en,1,https://www.youtube.com/watch?v=4OSRxSDLOcc
2024,Arm,ARM,Arm KleidiAI,software,"Arm announced KleidiAI, a set of optimized libraries for running generative AI inference across Arm cores and popular ML frameworks. The goal is to improve out-of-the-box CPU inference performance from cloud to edge devices.",,,announced,and at this year's computex we announced arm Cy AI,0.88,real_new,True,True,Arm KleidiAI announcement supported.,forum,en,1,https://www.youtube.com/watch?v=4OSRxSDLOcc
2024,Arm,ARM,Novatek Arm Neoverse CSS AI accelerator solution,partnership,"Arm announced work with Novatek to use Neoverse CSS with AI accelerators, TSMC CoWoS packaging and HBM for a generative-computing solution. The announcement highlights Arm Total Design enabling Taiwanese partners to enter AI data-center silicon markets.",,,announced,novatech one of the largest semiconductor shipment companies here in Taiwan known for dis display products is able to leverage our NE CSS platform combine it with AI accelerators using tsmc's coas packaging technology and high bandwidth memory and is now working to deliver a powerful solution for Gen Computing,0.82,real_new,True,True,Arm CSS partner solution explicitly described.,forum,en,1,https://www.youtube.com/watch?v=4OSRxSDLOcc
2024,Arm,ARM,Realtek Neoverse CSS DPU collaboration,partnership,Arm announced Realtek is leveraging Neoverse CSS to combine compute and networking for next-generation DPU products. This expands Arm's AI data-center ecosystem into networking and infrastructure acceleration.,,,announced,realtech another partner which is known for bringing Network and connectivity to iot devices and endpoints is leveraging our neoverse CSS products to deliver compute together with networking for the next generation of dpu products,0.82,real_new,True,True,Realtek DPU collaboration uses Arm CSS.,forum,en,1,https://www.youtube.com/watch?v=4OSRxSDLOcc
2024,ASUS,2357.TW,ASUS 40 TOPS AI PC lineup with Microsoft AI OS,platform,"ASUS said all of its brands will launch AI PCs with built-in NPUs rated at 40 TOPS, in collaboration with Microsoft’s new AI-focused operating system. This is a concrete commitment to mainstream on-device AI capability across ASUS PC brands.",40 tops,,announced,all the brands under Aus will launch uh mpu with uh 40 tops built in working with Microsoft which will launch the uh brand new OS built for AI,0.86,real_new,True,True,ASUS AI PC launch commitment supported.,keynote_forum,en,1,https://www.youtube.com/watch?v=XBZJi5i-ecA
2024,ASUS,2357.TW,ProArt laptop series,platform,"ASUS introduced a new ProArt laptop series positioned for creators, combining NVIDIA Studio validation, GeForce RTX 40-series laptop GPUs, and AMD Ryzen processors with on-device AI capability. The key hardware claim is an AMD Ryzen NPU configuration up to 50 TOPS for AI workflows and ASUS AI apps.",,,announced,the new Asus Pro laptop series is your automate creative companions for studio and Mobility,0.82,real_new,True,True,New ASUS ProArt laptop series supported.,computour,en,1,https://www.youtube.com/watch?v=WMFnVOH8mEc
2024,ASUS,2357.TW,ASUS ProArt laptop series,platform,"ASUS introduced a new ProArt laptop series for creators, combining NVIDIA Studio validation, GeForce RTX 40-series laptop GPUs, AMD Ryzen processors with an NPU, 4K touch display, ASUS DialPad controls, and military-grade durability.",,,announced,the new Asus Pro out laptop series is your ultimate creative companion for studio and Mobility,0.78,real_new,True,True,New ProArt laptop series supported,computour,en,1,https://www.youtube.com/watch?v=6WKes5-hURc
2024,ASUS,2357.TW,ASUS ESC AI rack solution with NVIDIA GB200,server,"ASUS announced a new rack-scale AI solution powered by NVIDIA GB200 and fifth-generation NVLink, targeting trillion-parameter training and inference. The system integrates Grace CPUs and Blackwell GPUs in a single NVLink domain with liquid cooling for higher performance at similar power use.",,,announced,Asus ESI part is a brand new Rec solution powered by Nvidia gb200 and fifth generation and Link Technology,0.76,real_new,True,True,Brand-new GB200 rack solution stated,computour,en,1,https://www.youtube.com/watch?v=WMFnVOH8mEc
2024,ASUS,2357.TW,ASUS AI POD with NVIDIA GB200,server,"ASUS announced a new rack-scale AI solution powered by NVIDIA GB200 and fifth-generation NVLink technology, connecting Grace CPUs and Blackwell GPUs in one NVLink domain for trillion-parameter inference and training workloads.",,,announced,Asus es part is a brand new rale solution powered by Nvidia gb2 200 and fifth generation aink technology,0.72,real_new,True,True,ASUS GB200 rack solution supported,computour,en,1,https://www.youtube.com/watch?v=6WKes5-hURc
2024,ASUS,2357.TW,ASUS Zenbook S 16,platform,"ASUS presented the Zenbook S 16 as a new-era AI PC using the latest AMD Ryzen processor, redesigned Ceraluminum chassis materials, and a thin 16-inch OLED design.",,,announced,zamu X6 is the first Ultra 60 in New Era Asus aipc combine performance and suff apption,0.64,real_new,True,True,Zenbook S 16 AI PC launch supported.,computour,en,1,https://www.youtube.com/watch?v=6WKes5-hURc
2024,ASUS,2357.TW,ASUS Zenbook S 16 AI PC,platform,"ASUS showed a thin 16-inch AI PC using the latest AMD Ryzen processor, a redesigned aluminum-ceramic chassis, 3K 100Hz OLED display, and six-speaker audio. It is positioned as an early ASUS AI PC design focused on portability and premium materials.",,,announced,technology zamu X6 is the first Ultra 60 in New Era Asus aipc combined performance and sophistication,0.62,real_new,True,True,Zenbook S 16 AI PC launch supported.,computour,en,1,https://www.youtube.com/watch?v=WMFnVOH8mEc
2024,AUO,2409.TW,AUO green energy trading management platform,platform,"AUO introduced a new green-energy trading management platform to match multiple renewable-power sources with multiple buyers, manage contracts, and automate billing workflows. The platform matters as corporate green-power procurement becomes more complex and decentralized.",,,announced,"So we have a new one,
which is a green energy trading management platform.",0.9,real_new,True,True,Quote says new AUO platform.,keynote_forum,en,1,https://www.youtube.com/watch?v=hacsIEjTZiM
2024,AUO,2409.TW,AUO light-storage smart scheduling,software,"AUO said it has developed smart scheduling software for solar-plus-storage systems, using solar generation forecasts and weather data to decide when to discharge or reserve battery capacity. This is relevant for enterprise energy storage because it improves utilization of stored green power.",,,announced,"So, our smart scheduling for light storage
has been developed.",0.81,real_new,True,True,Concrete AUO smart scheduling capability described.,keynote_forum,en,1,https://www.youtube.com/watch?v=hacsIEjTZiM
2024,Blue Ocean Vision,,Blue Ocean Vision circular vending machine,platform,"Blue Ocean Vision said it has made a circular vending machine that lets employees borrow and return reusable cups at workplaces, offices or complexes. This extends its circular cup rental system into managed locations.",,,announced,we have also made a a circular vending machine for the employees they can now borrow and return their CBS in maybe like in their workplaces or office and or or uh complex,0.78,real_new,True,True,Concrete machine described as made,keynote_forum,en,1,https://www.youtube.com/watch?v=6x581JzCx5w
2024,COMPUTEX BC Award,,Sustainable Tech Special Award,other,COMPUTEX's official BC Award is adding a new Sustainable Tech Special Award category to support ESG and set new standards for sustainability-focused technology recognition.,,,announced,"BC Award, the official Award of COMPUTEXX,&nbsp;&nbsp;
is ready to make changes and support ESG&nbsp;
with setting up new standards and new prize,&nbsp;&nbsp;
category goes to the Sustainable Tech&nbsp;
Special Award.",0.78,real_new,True,True,New award category explicitly stated,computour,en,1,https://www.youtube.com/watch?v=YJNNm7uIHz8
2024,Delta Electronics,2308.TW,AI Wi-Fi sensing technology,networking,"Delta introduced AI-based Wi-Fi sensing that repurposes Wi-Fi from communications into positioning and vital-sign sensing. The platform supports applications such as smartphone locationing, intrusion detection, sleep monitoring, and child presence detection.",35 cm,,announced,We use AI algorithms to to solve this multi pass problem and come up with a precise positioning system whose error is about 35 cm point 35 m which is about five to 10 times smaller than existing signal based signal strength based Wi-Fi positioning system.,0.9,real_new,True,True,Quote supports AI Wi-Fi positioning accuracy.,keynote,en,1,https://www.youtube.com/watch?v=iiRie4LmiaA
2024,Delta Electronics,2308.TW,BITS drone bridge inspection system,platform,"Delta announced BITS, an AI-driven system to automate drone-based inspection of large infrastructure such as bridges from 3D modeling through flight planning, autonomous inspection, defect classification, and report generation. The system aims to reduce labor, cost, and elapsed inspection time.",,,announced,So what's the upshot? The upshot is that bits uses this end to end automation uh capability to uh cut down the bridge inspection cost by half and reduce the elapse time to one/ird.,0.9,real_new,True,True,Concrete bridge inspection automation system described.,keynote,en,1,https://www.youtube.com/watch?v=iiRie4LmiaA
2024,Delta Electronics,2308.TW,Autonomous mobile robot for legacy elevators,platform,Delta disclosed an autonomous mobile robot under development that can ride legacy elevators without human intervention. This points to Delta extending AI automation into building and industrial mobility workflows.,,,roadmap,"For example, we have uh autonomous mobile robot that can ride legacy elevator that you can take take the elevators up and down without human intervention.",0.75,real_new,True,True,Concrete AMR elevator capability described.,keynote,en,1,https://www.youtube.com/watch?v=iiRie4LmiaA
2024,Delta Electronics,2308.TW,AI-driven PCB layout tool for power electronics,software,Delta disclosed an AI-driven PCB layout tool tailored to power-electronics circuit design. This is a concrete internal/software effort aligned with Delta’s core power-electronics engineering workflows.,,,roadmap,And we have a AIdriven PCB layout tool that is specifically tailored to power circuit power electronics circuit design and so on and a bunch of other things.,0.73,real_new,True,True,Concrete Delta AI PCB tool described.,keynote,en,1,https://www.youtube.com/watch?v=iiRie4LmiaA
2024,EXA Development,,Safe YOLO,software,A safety-oriented extension of the YOLO object-detection library intended to make AI-based automotive perception solutions certifiable for functional safety. It matters because standard YOLO models are described as not certifiable under traditional automotive safety standards.,,,announced,we are defining a safe YOLO and with this extension of the traditional YOLO Library you can have Sol uh you can have solution and products based on on these solutions that are certifiable for safety,0.86,real_new,True,True,Concrete Safe YOLO extension described.,keynote_forum,en,1,https://www.youtube.com/watch?v=9ZBGgR3j0U4
2024,G.Skill,,Zeta R5 Neo DDR5 memory kit,memory,"G.Skill presented the Zeta R5 Neo performance overclockable memory kit, including a high-capacity eight-module configuration demonstrated with AI benchmarks. The product is positioned to show AI workload performance gains from faster memory speeds.",384 GB,,announced,"and right here we are showing off dbr 56,600 memory kits at cl32 which is really low latency at a really high capacity of 384 GB with eight modules of 48 GB",0.88,real_new,True,True,Quote supports 384GB DDR5 kit.,computour,en,2,https://www.youtube.com/watch?v=bdbw6XlZePE
2024,GIGABYTE,2376.TW,GIGABYTE GigaPod,server,"GIGABYTE displayed the GigaPod, a modular multi-rack AI supercomputing cluster for large AI models. The full configuration comprises nine racks, 32 servers, and 256 GPU accelerators interconnected as one large AI accelerator.",,,announced,this is the first time the gigap Pod has been displayed in its entirety,0.9,real_new,True,True,First full display of Gigabyte GigaPod,computour,en,1,https://www.youtube.com/watch?v=WMFnVOH8mEc
2024,GIGABYTE,2376.TW,GIGABYTE GB200 NVL72,server,GIGABYTE presented a GB200 NVL72 rack-scale AI supercomputer using NVIDIA Grace CPUs and Blackwell GPUs connected via NVLink. The company claimed 30x faster AI inference and 4x faster LLM training versus the prior NVIDIA H100 generation.,,,announced,another example of cluster Computing for AI is gigabyt gb200 nvl 72,0.9,real_new,True,True,Gigabyte GB200 NVL72 system example cited,computour,en,1,https://www.youtube.com/watch?v=WMFnVOH8mEc
2024,Gigabyte,2376.TW,GigaPod AI supercomputing cluster,platform,"Gigabyte showed its GigaPod as a multi-rack AI supercomputing cluster that combines servers, GPU accelerators, networking, and storage options into one integrated AI accelerator. The company positioned it as evidence of its highest-level multi-rack system integration capability for hyperscale AI customers.",256 Topline GPU accelerators,,announced,this is the first time the gigap poog has been displayed in its entirety it is in fact nine silver racks filled with 32 servers and 256 Topline GPU accelerators,0.87,real_new,True,True,Quote supports full GigaPod display and count.,computour,en,1,https://www.youtube.com/watch?v=p5QRHN-X15U
2024,Government of India,,India government electric-bus procurement commitment,roadmap,The speaker said Indian government transport companies plan to buy electric buses over the next five years. This would create a sizable demand pool for EV buses and related charging and grid infrastructure.,"50,000 electric buses",next 5 years,roadmap,"the government alone is going to buy about 50,000 electric buses in the next 5 years",0.72,real_new,True,True,"Concrete 50,000-bus procurement stated.",keynote_forum,en,1,https://www.youtube.com/watch?v=9ZBGgR3j0U4
2024,Intel,INTC,Lunar Lake,cpu,"Intel announced Lunar Lake, its next-generation Core Ultra client platform for thin-and-light AI PCs. It integrates new CPU, GPU and NPU IP, targets Copilot+ PCs, and is scheduled for volume shipments in Q3 across over 80 designs from 20 OEMs.",120 tops,2024Q3,announced,you know lunar Lake Running in our Labs today out performs the ex Elite on the CPU on the GPU and on AI performance delivering a stunning 120 tops of total platform performance,0.96,real_new,True,True,Lunar Lake platform TOPS supported,keynote,en,2,https://www.youtube.com/watch?v=2nZg3v7h0kU
2024,Intel,INTC,Xeon 6 with E-cores,cpu,"Intel launched Xeon 6 with efficient cores for cloud-native and hyperscale data-center workloads. The platform emphasizes higher core density and performance per watt, enabling rack consolidation and lower power use versus older Xeon generations.",,,announced,today we're launching zon 6 with ecores,0.95,real_new,True,True,Xeon 6 E-core launch was new at Computex.,keynote,en,1,https://www.youtube.com/watch?v=2nZg3v7h0kU
2024,Intel,INTC,Xeon 6 E-core 288-core version,cpu,Intel committed to a higher-core-count follow-on Xeon 6 E-core product later in 2024. The 288-core version is positioned to double the launched E-core count and improve data-center consolidation ratios.,288 cores,later this year,roadmap,later this year we'll be Dr bringing the second generation of our Zeon 6 with e cores a whopping 288 cores,0.92,real_new,True,True,Concrete Xeon 6 E-core roadmap commitment,keynote,en,1,https://www.youtube.com/watch?v=2nZg3v7h0kU
2024,Intel,INTC,Lunar Lake Copilot+ PC design commitment,partnership,Intel and Microsoft committed that Lunar Lake will power a large wave of Copilot+ PCs. The design commitment matters because it positions Intel’s x86 AI PC platform inside Microsoft’s newest Windows AI PC category.,more than 80 new co-pilot plus PCS,,announced,lunar Lake processors will power more than 80 new co-pilot plus PCS,0.9,real_new,True,True,Concrete Lunar Lake Copilot+ PC design count.,keynote,en,1,https://www.youtube.com/watch?v=2nZg3v7h0kU
2024,Intel,INTC,Arrow Lake,cpu,"Intel committed to introduce Arrow Lake later in 2024 as its next-generation PC product after Meteor Lake and Lunar Lake. It will extend AI capabilities across PC categories, starting with desktop systems in Q4.",Q4,2024Q4,roadmap,aerol lake is our next Generation product we'll introduce later this year that will enable AI to all PC categories starting with the desktop in Q4,0.9,real_new,True,True,Arrow Lake Q4 desktop introduction directly stated.,keynote,en,1,https://www.youtube.com/watch?v=2nZg3v7h0kU
2024,Intel,INTC,Xeon 6 P-core Granite Rapids,cpu,"Intel said it will introduce the P-core version of Xeon 6, codenamed Granite Rapids, in Q3. This expands the Xeon 6 family beyond E-core density-oriented SKUs into higher-performance P-core server processors.",Q3,2024Q3,roadmap,and in Q3 we'll introduce the E cor's Big Brother the pee version grain at Rapids our next generation of the Zeon 6 family of processors,0.88,real_new,True,True,Granite Rapids P-core Q3 launch stated.,keynote,en,1,https://www.youtube.com/watch?v=2nZg3v7h0kU
2024,Intel,INTC,Core Ultra AI PC processor platform,cpu,"Intel highlighted its Core Ultra AI PC architecture with CPU, GPU and NPU blocks for local generative-AI workloads. The company positioned the platform as a foundational shift from general compute toward AI compute in PCs.",70% faster gen AI performance,,shipping,it combines CPU GPU to deliver 70% faster gen AI performance,0.88,real_new,True,True,Intel AI PC platform performance claim quoted.,keynote_forum,en,1,https://www.youtube.com/watch?v=lvSyYMpLhmQ
2024,Intel,INTC,Intel Xeon 6 processors,cpu,"Intel announced Xeon 6 data-center CPUs targeting both power efficiency and AI productivity/performance. Intel emphasized CPU-based enterprise AI, including running large language models up to 70B parameters.",,,announced,yesterday we were proud to announce the Intel Core Intel xon 6 processors both for power efficiency and uh productivity and like I want to make sure the the performance for AI is critical and all this data centers around the globe they heavily run on Intel Solutions,0.88,real_new,True,True,Xeon 6 announcement explicitly referenced.,keynote_forum,en,1,https://www.youtube.com/watch?v=MnMFJMNbQJE
2024,Intel,INTC,Intel AI PC software ecosystem,software,"Intel said it has optimized hundreds of AI models across ISVs for its AI PC features. The ecosystem matters because local AI PC usefulness depends on application-level adoption, not just silicon TOPS.",more than 500 AI models,,announced,we're also happy to share with you that we have optimized more than 500 AI models,0.86,real_new,True,True,Concrete updated ecosystem metric shared.,keynote_forum,en,1,https://www.youtube.com/watch?v=lvSyYMpLhmQ
2024,Intel,INTC,AI-optimized scale-out Ethernet,networking,"Intel said it is introducing AI-optimized scale-out Ethernet technology through the Ultra Ethernet Consortium. The offering is described as both a network interface card and Foundry chiplets, aimed at open AI data-center networking.",,,announced,through the ultra ethernet Consortium Intel working with a broad ecosystem of players is introducing an AI optimized scale out ethernet based you know the venerable ethernet standard,0.84,real_new,True,True,Quote supports Intel-backed AI Ethernet introduction.,keynote,en,1,https://www.youtube.com/watch?v=2nZg3v7h0kU
